LAD11NM,LAD11CD,date,new_cases,total_cases,month,year,day
Barking and Dagenham,E09000002,11.2.20,0,0,2,2020,11
Barnet,E09000003,11.2.20,0,0,2,2020,11
Bexley,E09000004,11.2.20,0,0,2,2020,11
Brent,E09000005,11.2.20,0,0,2,2020,11
Bromley,E09000006,11.2.20,0,0,2,2020,11
Camden,E09000007,11.2.20,0,0,2,2020,11
Croydon,E09000008,11.2.20,0,0,2,2020,11
Ealing,E09000009,11.2.20,0,0,2,2020,11
Enfield,E09000010,11.2.20,0,0,2,2020,11
Greenwich,E09000011,11.2.20,0,0,2,2020,11
Hackney and City of London,E09000012,11.2.20,0,0,2,2020,11
Hammersmith and Fulham,E09000013,11.2.20,0,0,2,2020,11
Haringey,E09000014,11.2.20,0,0,2,2020,11
Harrow,E09000015,11.2.20,0,0,2,2020,11
Havering,E09000016,11.2.20,0,0,2,2020,11
Hillingdon,E09000017,11.2.20,0,0,2,2020,11
Hounslow,E09000018,11.2.20,0,0,2,2020,11
Islington,E09000019,11.2.20,0,0,2,2020,11
Kensington and Chelsea,E09000020,11.2.20,0,0,2,2020,11
Kingston upon Thames,E09000021,11.2.20,0,0,2,2020,11
Lambeth,E09000022,11.2.20,0,0,2,2020,11
Lewisham,E09000023,11.2.20,1,1,2,2020,11
Merton,E09000024,11.2.20,0,0,2,2020,11
Newham,E09000025,11.2.20,0,0,2,2020,11
Redbridge,E09000026,11.2.20,0,0,2,2020,11
Richmond upon Thames,E09000027,11.2.20,0,0,2,2020,11
Southwark,E09000028,11.2.20,0,0,2,2020,11
Sutton,E09000029,11.2.20,0,0,2,2020,11
Tower Hamlets,E09000030,11.2.20,0,0,2,2020,11
Waltham Forest,E09000031,11.2.20,0,0,2,2020,11
Wandsworth,E09000032,11.2.20,0,0,2,2020,11
Westminster,E09000033,11.2.20,0,0,2,2020,11
Barking and Dagenham,E09000002,12.2.20,0,0,2,2020,12
Barnet,E09000003,12.2.20,0,0,2,2020,12
Bexley,E09000004,12.2.20,0,0,2,2020,12
Brent,E09000005,12.2.20,0,0,2,2020,12
Bromley,E09000006,12.2.20,0,0,2,2020,12
Camden,E09000007,12.2.20,0,0,2,2020,12
Croydon,E09000008,12.2.20,0,0,2,2020,12
Ealing,E09000009,12.2.20,0,0,2,2020,12
Enfield,E09000010,12.2.20,0,0,2,2020,12
Greenwich,E09000011,12.2.20,0,0,2,2020,12
Hackney and City of London,E09000012,12.2.20,0,0,2,2020,12
Hammersmith and Fulham,E09000013,12.2.20,0,0,2,2020,12
Haringey,E09000014,12.2.20,0,0,2,2020,12
Harrow,E09000015,12.2.20,0,0,2,2020,12
Havering,E09000016,12.2.20,0,0,2,2020,12
Hillingdon,E09000017,12.2.20,0,0,2,2020,12
Hounslow,E09000018,12.2.20,0,0,2,2020,12
Islington,E09000019,12.2.20,0,0,2,2020,12
Kensington and Chelsea,E09000020,12.2.20,0,0,2,2020,12
Kingston upon Thames,E09000021,12.2.20,0,0,2,2020,12
Lambeth,E09000022,12.2.20,0,0,2,2020,12
Lewisham,E09000023,12.2.20,0,1,2,2020,12
Merton,E09000024,12.2.20,0,0,2,2020,12
Newham,E09000025,12.2.20,0,0,2,2020,12
Redbridge,E09000026,12.2.20,0,0,2,2020,12
Richmond upon Thames,E09000027,12.2.20,0,0,2,2020,12
Southwark,E09000028,12.2.20,0,0,2,2020,12
Sutton,E09000029,12.2.20,0,0,2,2020,12
Tower Hamlets,E09000030,12.2.20,0,0,2,2020,12
Waltham Forest,E09000031,12.2.20,0,0,2,2020,12
Wandsworth,E09000032,12.2.20,0,0,2,2020,12
Westminster,E09000033,12.2.20,0,0,2,2020,12
Barking and Dagenham,E09000002,13.2.20,0,0,2,2020,13
Barnet,E09000003,13.2.20,0,0,2,2020,13
Bexley,E09000004,13.2.20,0,0,2,2020,13
Brent,E09000005,13.2.20,0,0,2,2020,13
Bromley,E09000006,13.2.20,0,0,2,2020,13
Camden,E09000007,13.2.20,0,0,2,2020,13
Croydon,E09000008,13.2.20,0,0,2,2020,13
