area_name,area_code,date,new_cases,total_cases,Cas_pweek,week_day,week_
Barking and Dagenham,E09000002,11/02/2020,0,0,,,
Barking and Dagenham,E09000002,12/02/2020,0,0,,,
Barking and Dagenham,E09000002,13/02/2020,0,0,,,
Barking and Dagenham,E09000002,14/02/2020,0,0,,,
Barking and Dagenham,E09000002,15/02/2020,0,0,,,
Barking and Dagenham,E09000002,16/02/2020,0,0,,,7
Barking and Dagenham,E09000002,17/02/2020,0,0,,,
Barking and Dagenham,E09000002,18/02/2020,0,0,,,
Barking and Dagenham,E09000002,19/02/2020,0,0,,,
Barking and Dagenham,E09000002,20/02/2020,0,0,,,
Barking and Dagenham,E09000002,21/02/2020,0,0,,,
Barking and Dagenham,E09000002,22/02/2020,0,0,,,
Barking and Dagenham,E09000002,23/02/2020,0,0,,,8
Barking and Dagenham,E09000002,24/02/2020,0,0,,,
Barking and Dagenham,E09000002,25/02/2020,0,0,,,
Barking and Dagenham,E09000002,26/02/2020,0,0,,,
Barking and Dagenham,E09000002,27/02/2020,0,0,,,
Barking and Dagenham,E09000002,28/02/2020,0,0,,,
Barking and Dagenham,E09000002,29/02/2020,0,0,,,
Barking and Dagenham,E09000002,01/03/2020,1,1,,,9
Barking and Dagenham,E09000002,02/03/2020,0,1,,,
Barking and Dagenham,E09000002,03/03/2020,0,1,,,
Barking and Dagenham,E09000002,04/03/2020,0,1,,,
Barking and Dagenham,E09000002,05/03/2020,0,1,,,
Barking and Dagenham,E09000002,06/03/2020,0,1,,,
Barking and Dagenham,E09000002,07/03/2020,0,1,,,
Barking and Dagenham,E09000002,08/03/2020,1,2,,,10
Barking and Dagenham,E09000002,09/03/2020,1,3,,,
Barking and Dagenham,E09000002,10/03/2020,0,3,,,
Barking and Dagenham,E09000002,11/03/2020,1,4,,,
Barking and Dagenham,E09000002,12/03/2020,4,8,,,
Barking and Dagenham,E09000002,13/03/2020,1,9,,,
Barking and Dagenham,E09000002,14/03/2020,2,11,,,
Barking and Dagenham,E09000002,15/03/2020,4,15,,,11
Barking and Dagenham,E09000002,16/03/2020,4,19,,,
Barking and Dagenham,E09000002,17/03/2020,5,24,,,
Barking and Dagenham,E09000002,18/03/2020,5,29,,,
Barking and Dagenham,E09000002,19/03/2020,4,33,,,
Barking and Dagenham,E09000002,20/03/2020,9,42,,,
Barking and Dagenham,E09000002,21/03/2020,10,52,,,
Barking and Dagenham,E09000002,22/03/2020,7,59,,,12
Barking and Dagenham,E09000002,23/03/2020,11,70,,,
Barking and Dagenham,E09000002,24/03/2020,12,82,,,
Barking and Dagenham,E09000002,25/03/2020,11,93,,,
Barking and Dagenham,E09000002,26/03/2020,7,100,,,
Barking and Dagenham,E09000002,27/03/2020,12,112,,,
Barking and Dagenham,E09000002,28/03/2020,11,123,,,
Barking and Dagenham,E09000002,29/03/2020,11,134,,,13
Barking and Dagenham,E09000002,30/03/2020,11,145,,,
Barking and Dagenham,E09000002,31/03/2020,19,164,,,
Barking and Dagenham,E09000002,01/04/2020,22,186,,,
Barking and Dagenham,E09000002,02/04/2020,26,212,,,
Barking and Dagenham,E09000002,03/04/2020,18,230,,,
Barking and Dagenham,E09000002,04/04/2020,17,247,,,
Barking and Dagenham,E09000002,05/04/2020,19,266,,,14
Barking and Dagenham,E09000002,06/04/2020,12,278,,,
Barking and Dagenham,E09000002,07/04/2020,22,300,,,
Barking and Dagenham,E09000002,08/04/2020,22,322,,,
Barking and Dagenham,E09000002,09/04/2020,15,337,,,
Barking and Dagenham,E09000002,10/04/2020,11,348,,,
Barking and Dagenham,E09000002,11/04/2020,9,357,,,
Barking and Dagenham,E09000002,12/04/2020,18,375,,,15
Barking and Dagenham,E09000002,13/04/2020,18,393,,,
Barking and Dagenham,E09000002,14/04/2020,14,407,,,
Barking and Dagenham,E09000002,15/04/2020,12,419,,,
Barking and Dagenham,E09000002,16/04/2020,12,431,,,
Barking and Dagenham,E09000002,17/04/2020,10,441,,,
Barking and Dagenham,E09000002,18/04/2020,7,448,,,
Barking and Dagenham,E09000002,19/04/2020,15,463,,,16
Barking and Dagenham,E09000002,20/04/2020,7,470,,,
Barking and Dagenham,E09000002,21/04/2020,14,484,,,
Barking and Dagenham,E09000002,22/04/2020,9,493,,,
Barking and Dagenham,E09000002,23/04/2020,11,504,,,
Barking and Dagenham,E09000002,24/04/2020,3,507,,,
Barking and Dagenham,E09000002,25/04/2020,7,514,,,
Barking and Dagenham,E09000002,26/04/2020,10,524,,,
Barking and Dagenham,E09000002,27/04/2020,8,532,,,
Barking and Dagenham,E09000002,28/04/2020,6,538,,,
Barking and Dagenham,E09000002,29/04/2020,7,545,,,18
Barking and Dagenham,E09000002,30/04/2020,5,550,,,
Barking and Dagenham,E09000002,01/05/2020,11,561,,,
