Barking and Dagenham,E09000002,28/09/2020,18,1257
Barnet,E09000003,28/09/2020,29,2378
Bexley,E09000004,28/09/2020,19,1386
Brent,E09000005,28/09/2020,33,2380
Bromley,E09000006,28/09/2020,17,1918
Camden,E09000007,28/09/2020,16,1093
Croydon,E09000008,28/09/2020,28,2353
Ealing,E09000009,28/09/2020,45,2331
Enfield,E09000010,28/09/2020,34,1810
Greenwich,E09000011,28/09/2020,18,1340
Hackney and City of London,E09000012,28/09/2020,33,1600
Hammersmith and Fulham,E09000013,28/09/2020,18,1175
Haringey,E09000014,28/09/2020,36,1293
Harrow,E09000015,28/09/2020,32,1801
Havering,E09000016,28/09/2020,26,1543
Hillingdon,E09000017,28/09/2020,22,1750
Hounslow,E09000018,28/09/2020,14,1736
Islington,E09000019,28/09/2020,31,957
Kensington and Chelsea,E09000020,28/09/2020,11,872
Kingston upon Thames,E09000021,28/09/2020,14,1008
Lambeth,E09000022,28/09/2020,28,1981
Lewisham,E09000023,28/09/2020,28,1655
Merton,E09000024,28/09/2020,13,1199
Newham,E09000025,28/09/2020,40,2108
Redbridge,E09000026,28/09/2020,36,1978
Richmond upon Thames,E09000027,28/09/2020,16,862
Southwark,E09000028,28/09/2020,30,2048
Sutton,E09000029,28/09/2020,7,1229
Tower Hamlets,E09000030,28/09/2020,31,1545
Waltham Forest,E09000031,28/09/2020,24,1546
Wandsworth,E09000032,28/09/2020,23,1816
Westminster,E09000033,28/09/2020,21,1220
Barking and Dagenham,E09000002,29/09/2020,17,1274
Barnet,E09000003,29/09/2020,39,2417
Bexley,E09000004,29/09/2020,19,1405
Brent,E09000005,29/09/2020,27,2407
Bromley,E09000006,29/09/2020,24,1942
Camden,E09000007,29/09/2020,11,1104
Croydon,E09000008,29/09/2020,28,2381
Ealing,E09000009,29/09/2020,42,2373
Enfield,E09000010,29/09/2020,36,1846
Greenwich,E09000011,29/09/2020,19,1359
Hackney and City of London,E09000012,29/09/2020,33,1633
Hammersmith and Fulham,E09000013,29/09/2020,13,1188
Haringey,E09000014,29/09/2020,31,1324
Harrow,E09000015,29/09/2020,27,1828
Havering,E09000016,29/09/2020,16,1559
Hillingdon,E09000017,29/09/2020,26,1776
Hounslow,E09000018,29/09/2020,26,1762
Islington,E09000019,29/09/2020,17,974
Kensington and Chelsea,E09000020,29/09/2020,17,889
Kingston upon Thames,E09000021,29/09/2020,9,1017
Lambeth,E09000022,29/09/2020,33,2014
Lewisham,E09000023,29/09/2020,17,1672
Merton,E09000024,29/09/2020,5,1204
Newham,E09000025,29/09/2020,32,2140
Redbridge,E09000026,29/09/2020,44,2022
Richmond upon Thames,E09000027,29/09/2020,29,891
Southwark,E09000028,29/09/2020,20,2068
Sutton,E09000029,29/09/2020,11,1240
Tower Hamlets,E09000030,29/09/2020,30,1575
Waltham Forest,E09000031,29/09/2020,20,1566
Wandsworth,E09000032,29/09/2020,25,1841
Westminster,E09000033,29/09/2020,24,1244
Barking and Dagenham,E09000002,30/09/2020,26,1300
Barnet,E09000003,30/09/2020,59,2476
Bexley,E09000004,30/09/2020,14,1419
Brent,E09000005,30/09/2020,44,2451
Bromley,E09000006,30/09/2020,37,1979
Camden,E09000007,30/09/2020,28,1132
Croydon,E09000008,30/09/2020,56,2437
Ealing,E09000009,30/09/2020,30,2403
Enfield,E09000010,30/09/2020,33,1879
Greenwich,E09000011,30/09/2020,20,1379
Hackney and City of London,E09000012,30/09/2020,53,1686
Hammersmith and Fulham,E09000013,30/09/2020,25,1213
Haringey,E09000014,30/09/2020,46,1370
Harrow,E09000015,30/09/2020,26,1854
Havering,E09000016,30/09/2020,28,1587
Hillingdon,E09000017,30/09/2020,25,1801
