"GROUP","OnlyEngAtHome.dem","OnlyEngAtHome.acs","EngAndSpan","EngAndSpanVeryWell","EngAndSpanLess","EngAndOther","EngAndOtherVeryWell","EngAndOtherless"
10001,61.9293,61.9293,10.4652,7.9057,2.5595,27.6056,18.9496,8.6559
10002,35.3738,35.3738,21.0685,13.1814,7.887,43.5578,12.1002,31.4576
10003,77.7266,77.7266,6.2193,4.9522,1.2672,16.0541,12.1322,3.9219
10004,74.2215,74.2215,2.4567,2.4221,0.0346,23.3218,21.2457,2.0761
10005,80.6498,80.6498,2.7781,2.0292,0.7489,16.572,13.9751,2.5969
10006,70.1037,70.1037,7.702,7.702,0,22.1943,18.6419,3.5523
10007,73.5531,73.5531,7.5953,4.6635,2.9318,18.8516,14.4615,4.3901
10009,62.703,62.703,20.0911,12.471,7.6201,17.2058,10.1078,7.098
10010,77.8625,77.8625,7.0024,5.1727,1.8298,15.135,11.6591,3.4759
10011,75.5864,75.5864,9.1706,6.4884,2.6823,15.2429,11.7162,3.5267
10012,72.0216,72.0216,4.8693,3.5897,1.2796,23.1091,16.711,6.3981
10013,59.9668,59.9668,4.2516,3.5839,0.6677,35.7816,14.4043,21.3773
10014,85.0172,85.0172,3.977,3.6226,0.3544,11.0057,10.2806,0.7252
10016,68.8411,68.8411,6.992,5.6287,1.3633,24.1669,16.5731,7.5938
10017,68.916,68.916,5.6097,4.9203,0.6893,25.4743,19.0615,6.4129
10018,56.7603,56.7603,11.8074,8.0776,3.7298,31.4323,21.3488,10.0835
10019,64.6959,64.6959,12.3487,8.5586,3.7901,22.9555,16.119,6.8365
10020,0,0,0,0,0,0,0,0
10021,77.1556,77.1556,5.676,3.5056,2.1704,17.1684,15.1527,2.0158
10022,78.7307,78.7307,4.6606,4.0333,0.6273,16.6088,14.6326,1.9762
10023,73.0327,73.0327,8.2826,6.2546,2.028,18.6846,14.4925,4.1922
10024,77.6325,77.6325,8.8337,5.6173,3.2164,13.5338,9.9433,3.5905
10025,64.4203,64.4203,19.7683,11.781,7.9873,15.8113,10.9848,4.8266
10026,65.123,65.123,17.2509,12.3144,4.9365,17.6261,12.2957,5.3304
10027,61.6683,61.6683,19.6862,13.0522,6.634,18.6455,12.9378,5.7077
10028,76.6756,76.6756,4.8505,3.9851,0.8654,18.474,16.1655,2.3085
