"GROUP","COPD","Physical.Activity","Obese","HighBloodPressure","No.Physical.Activity","No.Health.Insurance","Health.Insurance","Depression","Diabetes","Heart.Disease","No.Computer","Health.Risk.Index","Asthma"
"10314","7.5","18.7","28.8","29.5","31.9","3.54","96.46","19.1","11.2","4","7.93","Low","10.8"
"11234","7.3","19.1","33.4","33.7","33.3","5.21","94.79","18.3","12.6","3.9","8.31","Below Average","12.3"
"10312","7.7","19.4","29.7","28.7","30.5","2.13","97.87","20.4","10.3","3.9","5.73","Low","11.1"
"10306","8.1","18.9","29.8","30.1","31.7","3.82","96.18","20","10.9","4.3","10.23","Below Average","11.1"
"11430","N/A","18.3","32","28.2","35.8","10.68","89.32","17.5","11.4","N/A","N/A","Low","11.4"
"10309","7.2","19.8","30.1","27.1","30","1.91","98.09","20.5","9.5","3.5","7.8","Low","11"
"10305","7.2","18.9","29.4","28.4","31.8","4.46","95.54","19.3","10.7","3.8","13","Low","10.8"
"10304","6.7","18.5","31.3","30.1","33.8","5.95","94.05","17.9","11.8","3.6","13.33","Below Average","11.3"
"11385","6.8","17.7","31.3","26.2","34.7","11.46","88.54","19.3","10.7","3.3","8.64","Low","10.7"
"11236","6.5","18.9","37.9","37","35.6","6.93","93.07","16.7","14.2","3.3","10.92","Above Average","13.6"
"10301","6.7","18.9","31.5","29.6","33.1","7.38","92.62","18.5","11.4","3.5","13.53","Below Average","11.4"
"10464","9.4","17.2","32","34.4","34.7","7.15","92.85","20","13.1","5.1","9.67","Below Average","11.4"
"11208","6.1","16.7","35.4","30.6","38.5","5.43","94.57","17.3","13.4","2.9","8.53","Below Average","12.1"
"10465","7.7","17.9","31.8","30.3","34.8","4.01","95.99","19.2","12.1","4.2","13.04","Below Average","11.1"
"11434","7.2","17.9","39.2","39.9","38","4.79","95.21","16.8","15.8","3.7","8.53","Above Average","14.1"
"10303","5.6","18.5","33.4","28.1","34.4","6.11","93.89","17.6","11.2","2.7","12.17","Low","11.6"
"11413","6.9","18.6","39.3","39.7","36.8","5.54","94.46","16.5","15.6","3.6","7.15","Above Average","13.9"
"11357","7.6","18.6","27.1","31.7","32.2","5.15","94.85","17.8","12.4","4.8","10.57","Below Average","10.2"
"11691","6.9","17.8","35","33.4","36.2","8.7","91.3","17.7","13.4","3.6","12.8","Below Average","12.5"
"11101","5.2","19.3","29.8","25.2","32.2","3.85","96.15","17.2","10.4","2.7","9.79","Low","10.4"
"11368","4.9","17.3","32.4","24.5","37","23.44","76.56","16.5","11.3","2.5","10.76","Low","9.9"
"11207","6.4","17.1","37.7","33.2","38.6","6.67","93.33","17.6","14","3","11.52","Below Average","13.2"
"11378","7.7","17.5","30.1","28.3","34.6","8.1","91.9","19.5","11.1","3.9","9.79","Low","10.8"
"10471","8.1","18.4","29.5","32.4","33.7","3.87","96.13","19","12.3","4.8","8.74","Below Average","11.2"
"11697","9.1","19.7","29.3","34.6","30.2","0.03","99.97","20.2","12","5.5","13.53","Below Average","11.2"
"11367","6.2","19.4","27","27.5","31.7","6.01","93.99","17.8","11.1","3.5","12.3","Low","10.5"
"11362","6.7","19","24.3","31.3","30.9","4.62","95.38","15.7","12.7","4.6","10.96","Low","9.3"
"11377","5.4","17.8","26.2","25.6","34","9.94","90.06","15.4","11.8","3.1","10.74","Low","9.1"
"11365","6","18.2","24.6","29","32.8","8.59","91.41","15.3","12.6","3.8","8.41","Low","9.5"
"10469","7.2","17.6","36.1","36","37.3","5.9","94.1","17.3","14.7","3.9","9.36","Above Average","12.7"
"11364","6","18.7","23.3","29.4","31.1","7.14","92.86","14.9","12.6","4","6.47","Low","9"
"11235","7.9","19.1","27.5","31.5","31.6","8.32","91.68","18.7","11.7","4.8","14.82","Below Average","10.6"
"10461","7.2","17.6","30.9","29.3","35","6.97","93.03","18.5","11.9","4","12.22","Below Average","10.7"
"11414","9.6","17.6","30.7","33.6","34.5","3.42","96.58","20","12.8","5.3","12.13","Below Average","11.2"
"11211","5.2","21.1","28.3","21.7","29.5","5.54","94.46","19.6","8.3","2.6","16.45","Very low","10.6"
"10467","6","17.6","34.6","30.1","36.7","9.02","90.98","17.4","12.9","3.1","13.81","Below Average","11.6"
"11229","7.3","19.1","27.1","29.9","31.7","6.34","93.66","18.4","11.5","4.2","11.42","Low","10.6"
"11354","6.1","16.4","22.3","29.7","35.8","17.95","82.05","13.7","14.5","4","18.83","Low","8.7"
"11215","5","22.3","28.3","22.8","26.7","2.84","97.16","19.1","8.2","2.6","4.56","Very low","10.4"
"11214","7.4","17.5","25.5","29","34.2","10.84","89.16","17.3","12.2","4.2","11.72","Low","10"
"11432","5.8","18","27.3","28.5","34.7","9.14","90.86","15.6","12.8","3.4","9.43","Low","10.3"
"10473","6.3","17.3","36.1","32.4","38","5.29","94.71","17.3","14.8","3.4","12.69","Below Average","11.9"
"11203","7.3","18","39.2","40.6","37.6","6.84","93.16","16.5","16.2","3.8","18.35","Above Average","13.9"
"11209","6.9","19.9","27.8","27.4","30.3","6","94","18.8","10.3","3.8","9.84","Low","10.5"
"11379","9","17.1","30.4","31.5","34.9","6.14","93.86","20.2","12.1","4.7","8.93","Below Average","11.2"
"11420","7.1","17.4","32.2","31","36.8","6.6","93.4","17.8","13.7","3.5","7.59","Below Average","12.3"
"11223","7.1","18.6","26.8","28.7","32.6","6.76","93.24","18.3","11.4","4","12.88","Low","10.5"
"11422","6.4","19","38.4","36.8","35.7","4.93","95.07","16.9","14.1","3.2","5.99","Above Average","13.6"
"10466","6.6","18.2","37.6","35.9","36.8","8.14","91.86","17.1","14.5","3.3","10.38","Above Average","13.3"
"11375","6.7","19.1","26.3","29.5","30.7","3.88","96.12","17","11.5","4.2","8.53","Low","9.8"
"10308","8.1","19.3","30.1","29.6","30.8","2.18","97.82","20.6","10.5","4.2","7.67","Below Average","11.1"
"10307","7.2","19.8","30.2","26.7","29.8","3.43","96.57","20.8","9.2","3.5","10.59","Low","11.1"
