Name,FIPS,"Median Household Income, 2017","# Total Population [B01003] | Total population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010"
"10001, New York, NY",10001,86835,23947,622,893,832,355,882,387,384,1753,2935,2747,1823,1682,1596,1320,1348,550,887,356,675,607,789,284,240,11.8715,12.8615,12.4806
"10002, New York, NY",10002,40463,77925,2827,2907,3007,1843,1366,448,1019,3570,8004,6601,5552,4586,5656,4944,4582,2142,3134,2025,1964,3760,2876,2317,2795,27.1734,28.817,28.2764
"10003, New York, NY",10003,114848,55035,1846,797,593,571,6852,1702,1049,2286,8382,6007,4860,3274,2601,2208,2405,1076,2147,934,1219,1447,1015,812,952,10.2536,11.0608,10.9028
"10004, New York, NY",10004,160542,2990,100,83,111,124,11,7,12,133,412,454,367,240,163,240,183,42,110,51,32,81,29,5,0,7.8985,7.8528,7.5536
"10005, New York, NY",10005,152837,8680,401,268,126,140,104,77,224,937,1949,1364,1363,623,451,189,242,30,13,0,7,130,42,0,0,9.5583,10.3586,10.0993
"10006, New York, NY",10006,149762,3579,398,117,37,0,0,0,20,350,772,761,447,193,199,33,166,60,26,0,0,0,0,0,0,8.6184,9.3785,8.8312
"10007, New York, NY",10007,235477,7036,453,517,234,170,77,58,90,101,526,1203,593,795,821,313,281,255,135,78,119,97,29,70,21,2.8613,2.9145,2.7348
"10009, New York, NY",10009,76000,60141,1533,1518,2060,1597,668,648,1068,4119,9290,6281,4437,3492,3954,3525,3741,1505,1778,1538,1547,2210,1371,975,1286,18.0609,19.3039,18.8145
"10010, New York, NY",10010,125426,33119,1530,947,726,150,1272,699,443,1992,5364,3784,2562,2157,2155,1735,1960,373,749,390,987,1349,777,388,630,11.5435,12.3548,11.9056
"10011, New York, NY",10011,130776,50711,1685,1445,1020,705,506,368,541,2008,5872,6860,4488,4066,3612,2591,3447,1508,1882,1297,1252,2062,1534,821,1141,8.5419,9.2208,9.1037
"10012, New York, NY",10012,104331,24527,848,436,445,333,287,339,414,2108,4043,3306,2197,1570,1266,1446,923,458,816,538,817,651,598,273,415,9.8838,10.6289,10.4253
"10013, New York, NY",10013,100269,29619,1912,1520,987,461,460,622,377,848,2851,3059,3126,2133,1640,1659,1340,946,981,740,706,1085,778,441,947,12.0504,12.9691,12.5276
