Name,FIPS,"Median Household Income, 2020 [Estimated]","CBP: Average household income ($), 2020","Average CBP: Aggregate household income ($), 2020"
"10001, New York, NY",10001,88726.765507077,174882,168560.6914
"10002, New York, NY",10002,36528.70048599,77864,77619.3743
"10003, New York, NY",10003,111096.9723191,183771,159734.7081
"10004, New York, NY",10004,154770.49947494,228732,228732
"10005, New York, NY",10005,172478.01354738,204623,203546.2257
"10006, New York, NY",10006,170669.8423283,240162,240162
"10007, New York, NY",10007,239390.2,310110,306025.6537
"10009, New York, NY",10009,61473.648243885,110995,110995
"10010, New York, NY",10010,120352.87619845,191709,177016.2161
"10011, New York, NY",10011,130343.20919214,199220,195550.4845
"10012, New York, NY",10012,109572.58734851,172781,165231.603
"10013, New York, NY",10013,108221.38328636,222664,213391.3684
"10014, New York, NY",10014,130829.70567053,205487,203887.6159
"10016, New York, NY",10016,115240.28447969,170865,167618.7992
"10017, New York, NY",10017,127204.40395985,184014,184014
"10018, New York, NY",10018,110309.56156563,180459,175579.7905
"10019, New York, NY",10019,100631.24015433,163954,163564.6459
"10020, New York, NY",10020,,151061,151061
"10021, New York, NY",10021,123249.54375735,218964,215891.0879
"10022, New York, NY",10022,137983.88057818,228545,225795.9716
"10023, New York, NY",10023,130540.06919553,206981,202628.0639
"10024, New York, NY",10024,133096.46770702,214875,214378.7859
"10025, New York, NY",10025,87375.14819946,154580,148495.1884
"10026, New York, NY",10026,59113.881229047,103536,103536
"10027, New York, NY",10027,47026.950145351,86411,75620.8181
"10028, New York, NY",10028,123576.67237564,198068,198021.1551
"10029, New York, NY",10029,34530.372037574,71521,70306.0989
"10030, New York, NY",10030,37464.851451109,72703,72703
"10031, New York, NY",10031,49272.422416613,73772,73772
"10032, New York, NY",10032,49138.36662807,67862,67220.4835
"10033, New York, NY",10033,58175.891845214,83236,81802.8794
"10034, New York, NY",10034,55023.327021247,75877,75877
"10035, New York, NY",10035,29608.709995798,56359,56359
"10036, New York, NY",10036,97529.246317596,154305,154305
"10037, New York, NY",10037,44417.328355542,64247,64247
"10038, New York, NY",10038,88634.424495385,162528,152020.8201
"10039, New York, NY",10039,38190.01016989,57259,57259
"10040, New York, NY",10040,47204.921909314,71345,71189.9941
"10044, New York, NY",10044,97829.021273771,148896,148896
"10065, New York, NY",10065,129339.86137385,217820,217258.9348
"10069, New York, NY",10069,112289.27401447,198252,198252
"10075, New York, NY",10075,139037.22110411,203358,203358
"10103, New York, NY",10103,,,
"10110, New York, NY",10110,,,
"10111, New York, NY",10111,,,
"10112, New York, NY",10112,,,
"10115, New York, NY",10115,,,
"10119, New York, NY",10119,,,
"10128, New York, NY",10128,115302.03192674,192427,191219.8349
"10152, New York, NY",10152,,,
"10153, New York, NY",10153,,,
"10154, New York, NY",10154,,,
"10162, New York, NY",10162,180847.13937122,,
"10165, New York, NY",10165,,,
"10167, New York, NY",10167,,,
"10168, New York, NY",10168,,207900,207900
"10169, New York, NY",10169,,,
"10170, New York, NY",10170,,,
"10171, New York, NY",10171,,,
"10172, New York, NY",10172,,,
"10173, New York, NY",10173,,,
"10174, New York, NY",10174,,,
"10177, New York, NY",10177,,,
"10199, New York, NY",10199,,,
"10271, New York, NY",10271,,,
"10278, New York, NY",10278,,,
"10279, New York, NY",10279,,,
"10280, New York, NY",10280,169828.4464664,242468,242468
"10282, New York, NY",10282,,323166,323166
"10301, Staten Island, NY",10301,54075.323546028,103901,100842.4738
"10302, Staten Island, NY",10302,64221.339828203,92284,92284
"10303, Staten Island, NY",10303,62975.318195553,80826,80826
"10304, Staten Island, NY",10304,52804.086770267,101115,99840.0878
"10305, Staten Island, NY",10305,77480.475642306,104348,104348
"10306, Staten Island, NY",10306,79886.570052672,117067,117067
"10307, Staten Island, NY",10307,77778,151079,151079
"10308, Staten Island, NY",10308,94284.619753309,128725,128725
"10309, Staten Island, NY",10309,104786.92300286,141062,141062
"10310, Staten Island, NY",10310,72688.041966359,103525,103525
"10311, Staten Island, NY",10311,,,
"10312, Staten Island, NY",10312,94526.64626399,130811,130811
"10314, Staten Island, NY",10314,85285.145617695,120703,120703
"10451, Bronx, NY",10451,28371.455025592,46256,46256
"10452, Bronx, NY",10452,28351.480939052,44540,44540
"10453, Bronx, NY",10453,25024.398511014,41542,41542
"10454, Bronx, NY",10454,21959.056815471,38759,38759
"10455, Bronx, NY",10455,26827.250044093,46161,46161
"10456, Bronx, NY",10456,27928.097097498,44395,44395
"10457, Bronx, NY",10457,27756.646556257,43973,43973
"10458, Bronx, NY",10458,35073.085623121,49400,47483.5982
"10459, Bronx, NY",10459,27579.296637133,43237,43237
"10460, Bronx, NY",10460,27033.488091836,45851,45851
"10461, Bronx, NY",10461,57476.311383694,81750,79862.8508
"10462, Bronx, NY",10462,52688.429045021,69216,69216
"10463, Bronx, NY",10463,59278.9723211,92833,92315.7325
"10464, Bronx, NY",10464,93400.073278293,120015,120015
"10465, Bronx, NY",10465,76007.906776187,105688,101910.1266
"10466, Bronx, NY",10466,52184.024182443,77947,77947
