"GROUP","Moderate.2019.simmons","Conservative.2019.simmons","Liberal.2019.simmons","Reading.about.Pol.12m.2019.simmons","Pol.contri.25.to.49.2019.simmons","Pol.contri.50.to.199.2019.simmons","Pol.contri.200.more.2019.simmons","Voting.no.party.2019.scarbough","Voting.Rep.2019.scarbough","Voting.Democrat.2019.scarbough","Voting.Ind.2019.scarbough","Voting.Ind.closer.to.dem.2019.scarbough","Voting.Ind.closer.to.rep.2019.scarbough"
10001,26.4159,23.6468,46.0452,13.6222,NA,NA,NA,17.0414,17.0362,48.8826,8.0089,14.7843,5.2631
10002,46.3542,20.6712,28.5997,13.2928,4.8327,1.2864,NA,15.4779,13.4737,42.5556,6.8186,11.3261,4.718
10003,37.8289,25.6048,35.5604,16.1257,2.9771,1.2259,2.692,15.426,16.4303,47.1277,7.2767,14.3707,5.1587
10004,30.6452,NA,68.6828,NA,NA,NA,NA,16.4016,19.914,51.8062,7.992,15.0725,5.7539
10005,26.1444,28.6801,41.3052,30.1481,NA,14.8005,NA,17.7015,21.1676,57.5764,8.7003,18.165,5.8948
10006,70.5418,17.4798,6.2902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,31.6316,3.5216,28.5476,NA,NA,NA,13.3569,15.492,19.1547,45.8733,7.2359,17.3348,5.604
10009,35.1951,23.9422,36.4815,10.7374,1.1724,4.2734,NA,16.1627,14.8564,48.5817,7.023,13.4031,4.9265
10010,48.0777,22.0385,29.8837,21.2964,NA,4.0325,7.8133,16.3091,18.2296,50.029,7.3946,14.5821,5.3297
10011,42.6355,13.8731,36.4926,17.2587,1.9225,1.4777,1.1194,16.2171,17.653,52.498,7.583,16.6356,5.3946
10012,39.148,24.1235,33.7303,18.6347,6.1957,3.1263,4.5828,15.848,16.8154,49.1939,7.398,16.6069,5.2634
10013,47.8686,12.488,34.7401,23.7827,8.8827,4.3563,1.6439,16.2596,17.2909,48.0712,7.4401,13.6845,5.2619
10014,43.8644,11.9911,40.8667,19.6812,NA,NA,2.908,16.9423,17.7605,52.0787,8.035,16.0597,5.2355
10016,37.8728,26.7667,31.096,15.623,NA,2.2908,2.8396,16.5308,18.9599,51.5521,7.902,14.8153,5.5523
10017,43.0556,15.9823,40.9622,26.5969,NA,9.4002,NA,17.196,19.1578,51.7433,8.3175,15.5046,5.4538
10018,25.9972,37.1083,35.7716,4.5022,NA,NA,NA,16.8739,17.7083,51.4912,8.4055,15.6582,5.2497
10019,38.4058,16.1281,43.4895,12.4952,0.9799,1.8045,1.642,17.0056,17.6725,50.8272,7.9769,14.9756,5.4242
10020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,31.5255,18.6498,44.2491,21.5239,NA,1.709,5.9313,15.8939,18.0534,49.2338,7.0214,14.0081,5.2024
10022,26.6028,21.1596,48.0722,15.4512,NA,NA,7.379,16.1768,19.1532,49.7723,8.0279,14.6138,5.4464
10023,32.1471,23.5921,39.5707,19.7186,0.7497,1.1434,3.5552,15.8484,17.0322,48.6099,7.3096,14.3275,5.2822
10024,30.7732,17.5049,46.3057,24.2308,5.4162,2.8895,5.1578,16.4475,17.2054,52.0978,7.4042,15.2295,5.2256
10025,49.8737,16.416,29.9974,15.4861,0.2729,0.7345,2.874,14.9407,14.7459,47.4432,6.5918,14.34,5.0661
10026,47.8182,7.6801,43.4248,12.2849,2.0778,2.9102,NA,16.6996,14.9283,48.467,6.7399,12.604,4.862
10027,39.0701,22.3962,25.1267,13.6065,NA,NA,2.6594,14.8075,13.4007,43.0499,6.0983,12.1488,4.6634
10028,43.0723,12.7647,38.6394,21.0797,2.5394,NA,3.0096,17.2296,18.3816,53.0668,7.6318,15.3232,5.2927
10029,37.3615,23.3124,28.6872,6.3299,1.3688,NA,1.9885,15.6324,13.4583,43.3494,6.1561,10.2814,4.5093
10030,26.6568,21.4966,22.228,NA,NA,NA,NA,16.6024,13.5105,46.0941,6.3955,11.9012,4.9213
10031,46.9862,21.3356,17.9759,17.2513,5.8121,NA,NA,17.7777,14.2205,51.7939,7.4127,13.6241,4.8043
10032,50.7799,18.5719,19.153,5.317,4.7618,NA,NA,17.9582,14.1035,50.0607,7.214,11.8683,4.4338
10033,33.7078,34.143,22.6121,14.2723,NA,NA,1.0185,16.8679,13.9874,48.5795,6.7169,13.1863,4.7892
10034,54.2849,25.0032,7.6815,2.6809,NA,NA,NA,17.5192,13.7635,50.524,6.8119,13.1544,4.8119
10035,44.3916,19.4274,28.2891,0.9836,NA,NA,NA,15.1997,12.6854,41.5188,5.9914,10.1991,4.5146
