Zip Code Tabulation Area,FIPS Code,Formatted FIPS,"Estimated percent of households without any type of computer, be"
10314,10314,10314,7.93
11234,11234,11234,8.31
10312,10312,10312,5.73
10306,10306,10306,10.23
11430,11430,11430,N/A
10309,10309,10309,7.8
10305,10305,10305,13
10304,10304,10304,13.33
11385,11385,11385,8.64
11236,11236,11236,10.92
10301,10301,10301,13.53
10464,10464,10464,9.67
11208,11208,11208,8.53
10465,10465,10465,13.04
11434,11434,11434,8.53
10303,10303,10303,12.17
11413,11413,11413,7.15
11357,11357,11357,10.57
11691,11691,11691,12.8
11101,11101,11101,9.79
11368,11368,11368,10.76
11207,11207,11207,11.52
11378,11378,11378,9.79
10471,10471,10471,8.74
11697,11697,11697,13.53
11367,11367,11367,12.3
11362,11362,11362,10.96
11377,11377,11377,10.74
11365,11365,11365,8.41
10469,10469,10469,9.36
11364,11364,11364,6.47
11235,11235,11235,14.82
10461,10461,10461,12.22
11414,11414,11414,12.13
11211,11211,11211,16.45
10467,10467,10467,13.81
11229,11229,11229,11.42
11354,11354,11354,18.83
11215,11215,11215,4.56
11214,11214,11214,11.72
11432,11432,11432,9.43
10473,10473,10473,12.69
11203,11203,11203,18.35
11209,11209,11209,9.84
11379,11379,11379,8.93
11420,11420,11420,7.59
11223,11223,11223,12.88
11422,11422,11422,5.99
10466,10466,10466,10.38
11375,11375,11375,8.53
10308,10308,10308,7.67
10307,10307,10307,10.59
11358,11358,11358,10.68
10475,10475,10475,16.92
11230,11230,11230,16.34
10310,10310,10310,14.99
11361,11361,11361,7.13
11220,11220,11220,13.91
11355,11355,11355,17.78
11105,11105,11105,10.56
11412,11412,11412,7.54
11210,11210,11210,7.52
11418,11418,11418,6.22
11222,11222,11222,7.47
11224,11224,11224,24.05
10463,10463,10463,12.21
11204,11204,11204,14.53
11427,11427,11427,8.98
11356,11356,11356,14.25
11433,11433,11433,12.5
11212,11212,11212,19.69
10474,10474,10474,21.81
11435,11435,11435,7.66
11373,11373,11373,9.63
11370,11370,11370,8.82
10462,10462,10462,11.57
11219,11219,11219,25.02
11228,11228,11228,9.78
11231,11231,11231,10.54
10470,10470,10470,10.08
11206,11206,11206,17.54
10035,10035,10035,26.78
11218,11218,11218,11.03
11201,11201,11201,4.76
11423,11423,11423,6.59
11360,11360,11360,10.12
11221,11221,11221,13.05
11426,11426,11426,5.59
11233,11233,11233,8.64
11694,11694,11694,11.64
10460,10460,10460,13.16
11429,11429,11429,5.56
11421,11421,11421,7.29
11226,11226,11226,14.34
11232,11232,11232,9.97
10302,10302,10302,17.21
11411,11411,11411,6.99
11419,11419,11419,7.24
11417,11417,11417,6.9
11238,11238,11238,8.27
10034,10034,10034,11.98
11371,11371,11371,N/A
11366,11366,11366,8.07
10468,10468,10468,11.63
11369,11369,11369,12.66
11213,11213,11213,11.97
11692,11692,11692,6.86
10457,10457,10457,15.03
10472,10472,10472,16.16
10454,10454,10454,21.51
10451,10451,10451,15.24
10456,10456,10456,16.03
10458,10458,10458,10.23
11237,11237,11237,9.5
10452,10452,10452,14.05
11693,11693,11693,9.9
11004,11004,11004,9.15
11205,11205,11205,12.63
11374,11374,11374,10.53
11216,11216,11216,10.63
10453,10453,10453,12.71
11225,11225,11225,13.82
10002,10002,10002,22.57
11363,11363,11363,4.21
10027,10027,10027,14.77
11106,11106,11106,10.04
10024,10024,10024,4.88
11428,11428,11428,9.18
10459,10459,10459,16.62
10029,10029,10029,16.73
11436,11436,11436,5.53
11102,11102,11102,8.12
10025,10025,10025,9.22
11217,11217,11217,6.27
11372,11372,11372,9.2
10455,10455,10455,15.23
11103,11103,11103,7.94
10019,10019,10019,5.88
10011,10011,10011,4.77
11416,11416,11416,7.67
10032,10032,10032,12.54
10031,10031,10031,10.67
11239,11239,11239,22.71
10009,10009,10009,8.93
10001,10001,10001,7.11
10033,10033,10033,12.44
10003,10003,10003,3.18
11415,11415,11415,7.45
10014,10014,10014,2.86
10013,10013,10013,13.83
10004,10004,10004,0
10016,10016,10016,5.02
10023,10023,10023,5.84
10128,10128,10128,3.71
10036,10036,10036,7.28
10039,10039,10039,13.2
10022,10022,10022,4.43
11104,11104,11104,10.47
10040,10040,10040,12.86
10010,10010,10010,5.54
10021,10021,10021,3.32
10065,10065,10065,4.89
10026,10026,10026,13.29
10012,10012,10012,3.87
10018,10018,10018,5.33
10017,10017,10017,2.03
10028,10028,10028,2.16
10038,10038,10038,13.86
10030,10030,10030,10.73
10037,10037,10037,14.84
11359,11359,11359,N/A
10044,10044,10044,6.05
10075,10075,10075,5.73
11005,11005,11005,13.84
10007,10007,10007,0.43
10280,10280,10280,0.44
10069,10069,10069,0.9
10006,10006,10006,0
10282,10282,10282,2.66
10005,10005,10005,0
11109,11109,11109,0.55
10311,10311,10311,N/A
11425,11425,11425,N/A
11451,11451,11451,N/A
11424,11424,11424,N/A
10020,10020,10020,N/A
10199,10199,10199,N/A
10119,10119,10119,N/A
10278,10278,10278,N/A
10162,10162,10162,0
10110,10110,10110,N/A
10170,10170,10170,N/A
10103,10103,10103,N/A
10112,10112,10112,N/A
10174,10174,10174,N/A
10168,10168,10168,N/A
10165,10165,10165,N/A
10171,10171,10171,N/A
10152,10152,10152,N/A
10172,10172,10172,N/A
10167,10167,10167,N/A
10154,10154,10154,N/A
11351,11351,11351,N/A
10173,10173,10173,N/A
10153,10153,10153,N/A
10279,10279,10279,0
10169,10169,10169,N/A
10111,10111,10111,N/A
10271,10271,10271,N/A
10115,10115,10115,N/A
10177,10177,10177,N/A
,,,
"Location: New York (City, 2010)",,,
,,,
Zip Code Tabulation Area Boundary Year: 2010,,,
,,,
Indicator source: Census,,,
http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS),,,
,,,
"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:",,,
https://www.policymap.com/terms/,,,
https://www.policymap.com/citing/,,,
