ZIP,Group,GroupName
10453,2,Central Bronx
10457,2,Central Bronx
10460,2,Central Bronx
10458,2,Bronx Park and Fordham
10467,2,Bronx Park and Fordham
10468,2,Bronx Park and Fordham
10451,2,High Bridge and Morrisania
10452,2,High Bridge and Morrisania
10456,2,High Bridge and Morrisania
10454,2,Hunts Point and Mott Haven
10455,2,Hunts Point and Mott Haven
10459,2,Hunts Point and Mott Haven
10474,2,Hunts Point and Mott Haven
10463,2,Kingsbridge and Riverdale
10471,2,Kingsbridge and Riverdale
10466,2,Northeast Bronx
10469,2,Northeast Bronx
10470,2,Northeast Bronx
10475,2,Northeast Bronx
10461,2,Southeast Bronx
10462,2,Southeast Bronx
10464,2,Southeast Bronx
10465,2,Southeast Bronx
10472,2,Southeast Bronx
10473,2,Southeast Bronx
11212,3,Central Brooklyn
11213,3,Central Brooklyn
11216,3,Central Brooklyn
11233,3,Central Brooklyn
11238,3,Central Brooklyn
11209,3,Southwest Brooklyn
11214,3,Southwest Brooklyn
11228,3,Southwest Brooklyn
11204,3,Borough Park
11218,3,Borough Park
11219,3,Borough Park
11230,3,Borough Park
11234,3,Canarsie and Flatlands
11236,3,Canarsie and Flatlands
11239,3,Canarsie and Flatlands
11223,3,Southern Brooklyn
11224,3,Southern Brooklyn
11229,3,Southern Brooklyn
11235,3,Southern Brooklyn
11201,3,Northwest Brooklyn
11205,3,Northwest Brooklyn
11215,3,Northwest Brooklyn
11217,3,Northwest Brooklyn
11231,3,Northwest Brooklyn
11203,3,Flatbush
11210,3,Flatbush
11225,3,Flatbush
11226,3,Flatbush
11207,3,East New York and New Lots
11208,3,East New York and New Lots
11211,3,Greenpoint
11222,3,Greenpoint
11220,3,Sunset Park
11232,3,Sunset Park
11206,3,Bushwick and Williamsburg
11221,3,Bushwick and Williamsburg
11237,3,Bushwick and Williamsburg
10026,1,Central Harlem
10027,1,Central Harlem
10030,1,Central Harlem
10037,1,Central Harlem
10039,1,Central Harlem
10001,1,Chelsea and Clinton
10011,1,Chelsea and Clinton
10018,1,Chelsea and Clinton
10019,1,Chelsea and Clinton
10020,1,Chelsea and Clinton
10036,1,Chelsea and Clinton
10029,1,East Harlem
10035,1,East Harlem
10010,1,Gramercy Park and Murray Hill
10016,1,Gramercy Park and Murray Hill
10017,1,Gramercy Park and Murray Hill
10022,1,Gramercy Park and Murray Hill
10012,1,Greenwich Village and Soho
10013,1,Greenwich Village and Soho
10014,1,Greenwich Village and Soho
10004,1,Lower Manhattan
10005,1,Lower Manhattan
10006,1,Lower Manhattan
10007,1,Lower Manhattan
10038,1,Lower Manhattan
10279,1,Lower Manhattan
10280,1,Lower Manhattan
10282,1,Lower Manhattan
10002,1,Lower East Side
10003,1,Lower East Side
10009,1,Lower East Side
10021,1,Upper East Side
10028,1,Upper East Side
10044,1,Upper East Side
10065,1,Upper East Side
10075,1,Upper East Side
10128,1,Upper East Side
10023,1,Upper West Side
10024,1,Upper West Side
10025,1,Upper West Side
10069,1,Upper West Side
10031,1,Inwood and Washington Heights
10032,1,Inwood and Washington Heights
10033,1,Inwood and Washington Heights
10034,1,Inwood and Washington Heights
10040,1,Inwood and Washington Heights
11361,4,Northeast Queens
11362,4,Northeast Queens
11363,4,Northeast Queens
11364,4,Northeast Queens
11354,4,North Queens
11355,4,North Queens
11356,4,North Queens
11357,4,North Queens
11358,4,North Queens
11359,4,North Queens
11360,4,North Queens
11365,4,Central Queens
11366,4,Central Queens
11367,4,Central Queens
11412,4,Jamaica
11423,4,Jamaica
11432,4,Jamaica
11433,4,Jamaica
11434,4,Jamaica
11435,4,Jamaica
11436,4,Jamaica
11101,4,Northwest Queens
11102,4,Northwest Queens
11103,4,Northwest Queens
11104,4,Northwest Queens
11105,4,Northwest Queens
11106,4,Northwest Queens
11109,4,Northwest Queens
11374,4,West Central Queens
11375,4,West Central Queens
11379,4,West Central Queens
11385,4,West Central Queens
11691,4,Rockaways
11692,4,Rockaways
11693,4,Rockaways
11694,4,Rockaways
11695,4,Rockaways
11697,4,Rockaways
11004,4,Southeast Queens
11005,4,Southeast Queens
11411,4,Southeast Queens
11413,4,Southeast Queens
11422,4,Southeast Queens
11426,4,Southeast Queens
11427,4,Southeast Queens
11428,4,Southeast Queens
11429,4,Southeast Queens
11414,4,Southwest Queens
11415,4,Southwest Queens
11416,4,Southwest Queens
11417,4,Southwest Queens
11418,4,Southwest Queens
11419,4,Southwest Queens
11420,4,Southwest Queens
11421,4,Southwest Queens
11368,4,West Queens
11369,4,West Queens
11370,4,West Queens
11372,4,West Queens
11373,4,West Queens
11377,4,West Queens
11378,4,West Queens
10302,5,Port Richmond
10303,5,Port Richmond
10310,5,Port Richmond
10306,5,South Shore
10307,5,South Shore
10308,5,South Shore
10309,5,South Shore
10312,5,South Shore
10301,5,Stapleton and St. George
10304,5,Stapleton and St. George
10305,5,Stapleton and St. George
10314,5,Mid-Island
