count,rate,GROUP,date,day
31572,1696.06,Low poverty,2020-05-18,1
74252,2021.4,Medium poverty,2020-05-18,1
45508,2137.53,High poverty,2020-05-18,1
33981,2497.52,Very high poverty,2020-05-18,1
31629,1699.15,Low poverty,2020-05-19,2
74492,2028,Medium poverty,2020-05-19,2
45689,2145.95,High poverty,2020-05-19,2
34108,2506.75,Very high poverty,2020-05-19,2
31720,1703.97,Low poverty,2020-05-20,3
74749,2035.12,Medium poverty,2020-05-20,3
45859,2154.05,High poverty,2020-05-20,3
34242,2516.52,Very high poverty,2020-05-20,3
31793,1708.03,Low poverty,2020-05-21,4
74933,2040.21,Medium poverty,2020-05-21,4
45979,2159.56,High poverty,2020-05-21,4
34309,2521.33,Very high poverty,2020-05-21,4
31899,1713.68,Low poverty,2020-05-22,5
75259,2049.27,Medium poverty,2020-05-22,5
46209,2170.39,High poverty,2020-05-22,5
34471,2533.19,Very high poverty,2020-05-22,5
31994,1718.68,Low poverty,2020-05-23,6
75498,2055.77,Medium poverty,2020-05-23,6
46353,2177.32,High poverty,2020-05-23,6
34599,2542.44,Very high poverty,2020-05-23,6
32096,1724.35,Low poverty,2020-05-24,7
75732,2062.21,Medium poverty,2020-05-24,7
46516,2185.17,High poverty,2020-05-24,7
34766,2554.75,Very high poverty,2020-05-24,7
32170,1728.25,Low poverty,2020-05-25,8
75972,2068.84,Medium poverty,2020-05-25,8
46660,2191.95,High poverty,2020-05-25,8
34861,2561.69,Very high poverty,2020-05-25,8
32218,1730.9,Low poverty,2020-05-26,9
76120,2072.87,Medium poverty,2020-05-26,9
46761,2196.74,High poverty,2020-05-26,9
34932,2566.94,Very high poverty,2020-05-26,9
32317,1736.08,Low poverty,2020-05-27,10
76442,2081.59,Medium poverty,2020-05-27,10
46906,2203.58,High poverty,2020-05-27,10
35055,2576.14,Very high poverty,2020-05-27,10
32424,1741.96,Low poverty,2020-05-28,11
76812,2091.86,Medium poverty,2020-05-28,11
47144,2214.94,High poverty,2020-05-28,11
35233,2589.31,Very high poverty,2020-05-28,11
32517,1746.84,Low poverty,2020-05-29,12
77141,2100.92,Medium poverty,2020-05-29,12
47336,2224.03,High poverty,2020-05-29,12
35385,2600.46,Very high poverty,2020-05-29,12
32628,1752.81,Low poverty,2020-05-30,13
77469,2109.95,Medium poverty,2020-05-30,13
47562,2234.78,High poverty,2020-05-30,13
35510,2609.55,Very high poverty,2020-05-30,13
32712,1757.28,Low poverty,2020-05-31,14
77671,2115.49,Medium poverty,2020-05-31,14
47743,2243.25,High poverty,2020-05-31,14
35623,2617.66,Very high poverty,2020-05-31,14
32735,1758.51,Low poverty,2020-06-01,15
77791,2118.81,Medium poverty,2020-06-01,15
47794,2245.62,High poverty,2020-06-01,15
35668,2620.95,Very high poverty,2020-06-01,15
32769,1760.45,Low poverty,2020-06-02,16
77895,2121.69,Medium poverty,2020-06-02,16
47897,2250.56,High poverty,2020-06-02,16
35706,2623.66,Very high poverty,2020-06-02,16
32851,1765.12,Low poverty,2020-06-03,17
78147,2128.58,Medium poverty,2020-06-03,17
48071,2258.63,High poverty,2020-06-03,17
35823,2632.31,Very high poverty,2020-06-03,17
32910,1768.28,Low poverty,2020-06-04,18
78327,2133.5,Medium poverty,2020-06-04,18
48193,2264.42,High poverty,2020-06-04,18
35921,2639.54,Very high poverty,2020-06-04,18
32984,1772.15,Low poverty,2020-06-05,19
78506,2138.53,Medium poverty,2020-06-05,19
48326,2270.71,High poverty,2020-06-05,19
35998,2645.2,Very high poverty,2020-06-05,19
33066,1776.28,Low poverty,2020-06-06,20
78729,2144.69,Medium poverty,2020-06-06,20
48485,2278.1,High poverty,2020-06-06,20
36102,2653.06,Very high poverty,2020-06-06,20
33118,1779.06,Low poverty,2020-06-07,21
78867,2148.51,Medium poverty,2020-06-07,21
48617,2284.41,High poverty,2020-06-07,21
36182,2658.85,Very high poverty,2020-06-07,21
33149,1780.79,Low poverty,2020-06-08,22
79017,2152.62,Medium poverty,2020-06-08,22
48728,2289.66,High poverty,2020-06-08,22
36245,2663.43,Very high poverty,2020-06-08,22
33197,1783.35,Low poverty,2020-06-09,23
79146,2156.07,Medium poverty,2020-06-09,23
48803,2293.19,High poverty,2020-06-09,23
36300,2667.53,Very high poverty,2020-06-09,23
33243,1785.93,Low poverty,2020-06-10,24
79308,2160.61,Medium poverty,2020-06-10,24
48917,2298.55,High poverty,2020-06-10,24
36391,2674.3,Very high poverty,2020-06-10,24
33302,1788.95,Low poverty,2020-06-11,25
79456,2164.67,Medium poverty,2020-06-11,25
49012,2303.04,High poverty,2020-06-11,25
36470,2680.08,Very high poverty,2020-06-11,25
33372,1792.88,Low poverty,2020-06-12,26
79628,2169.44,Medium poverty,2020-06-12,26
49119,2308.13,High poverty,2020-06-12,26
36540,2685.22,Very high poverty,2020-06-12,26
33433,1796.14,Low poverty,2020-06-13,27
79795,2174.08,Medium poverty,2020-06-13,27
49279,2315.6,High poverty,2020-06-13,27
36603,2689.82,Very high poverty,2020-06-13,27
33466,1797.88,Low poverty,2020-06-14,28
79915,2177.34,Medium poverty,2020-06-14,28
49364,2319.56,High poverty,2020-06-14,28
36663,2694.14,Very high poverty,2020-06-14,28
33518,1800.57,Low poverty,2020-06-15,29
80051,2181.07,Medium poverty,2020-06-15,29
49487,2325.24,High poverty,2020-06-15,29
36730,2699.06,Very high poverty,2020-06-15,29
33561,1803.02,Low poverty,2020-06-16,30
80179,2184.68,Medium poverty,2020-06-16,30
49563,2328.8,High poverty,2020-06-16,30
36783,2702.9,Very high poverty,2020-06-16,30
33622,1806.52,Low poverty,2020-06-17,31
80351,2189.35,Medium poverty,2020-06-17,31
49679,2334.32,High poverty,2020-06-17,31
36868,2709.08,Very high poverty,2020-06-17,31
33650,1807.98,Low poverty,2020-06-18,32
80458,2192.34,Medium poverty,2020-06-18,32
49775,2338.84,High poverty,2020-06-18,32
36918,2712.72,Very high poverty,2020-06-18,32
33695,1810.39,Low poverty,2020-06-19,33
80581,2195.76,Medium poverty,2020-06-19,33
49874,2343.49,High poverty,2020-06-19,33
36969,2716.38,Very high poverty,2020-06-19,33
33727,1812.14,Low poverty,2020-06-20,34
80698,2199.03,Medium poverty,2020-06-20,34
49955,2347.32,High poverty,2020-06-20,34
37028,2720.79,Very high poverty,2020-06-20,34
33801,1816.29,Low poverty,2020-06-21,35
80911,2204.97,Medium poverty,2020-06-21,35
50130,2355.55,High poverty,2020-06-21,35
37098,2725.93,Very high poverty,2020-06-21,35
33845,1818.76,Low poverty,2020-06-22,36
81007,2207.57,Medium poverty,2020-06-22,36
50175,2357.69,High poverty,2020-06-22,36
37136,2728.69,Very high poverty,2020-06-22,36
33891,1821.43,Low poverty,2020-06-23,37
81115,2210.59,Medium poverty,2020-06-23,37
50263,2361.85,High poverty,2020-06-23,37
37199,2733.3,Very high poverty,2020-06-23,37
33939,1824.16,Low poverty,2020-06-24,38
81203,2212.96,Medium poverty,2020-06-24,38
50337,2365.3,High poverty,2020-06-24,38
37275,2738.76,Very high poverty,2020-06-24,38
33967,1825.71,Low poverty,2020-06-25,39
81336,2216.63,Medium poverty,2020-06-25,39
50433,2369.89,High poverty,2020-06-25,39
37335,2743.23,Very high poverty,2020-06-25,39
34012,1828.29,Low poverty,2020-06-26,40
81457,2219.98,Medium poverty,2020-06-26,40
50564,2376.16,High poverty,2020-06-26,40
37401,2748.06,Very high poverty,2020-06-26,40
34064,1831.23,Low poverty,2020-06-27,41
81563,2222.95,Medium poverty,2020-06-27,41
50659,2380.66,High poverty,2020-06-27,41
37461,2752.41,Very high poverty,2020-06-27,41
34122,1834.78,Low poverty,2020-06-28,42
81680,2226.28,Medium poverty,2020-06-28,42
50737,2384.36,High poverty,2020-06-28,42
37517,2756.46,Very high poverty,2020-06-28,42
34164,1837.22,Low poverty,2020-06-30,44
81885,2232.01,Medium poverty,2020-06-30,44
50920,2392.91,High poverty,2020-06-30,44
37636,2765.24,Very high poverty,2020-06-30,44
34193,1839.06,Low poverty,2020-07-01,45
82022,2235.84,Medium poverty,2020-07-01,45
51015,2397.48,High poverty,2020-07-01,45
37719,2771.19,Very high poverty,2020-07-01,45
34236,1841.61,Low poverty,2020-07-02,46
82161,2239.71,Medium poverty,2020-07-02,46
51121,2402.57,High poverty,2020-07-02,46
37786,2776.07,Very high poverty,2020-07-02,46
34304,1845.64,Low poverty,2020-07-03,47
82298,2243.57,Medium poverty,2020-07-03,47
51237,2408.14,High poverty,2020-07-03,47
37868,2781.93,Very high poverty,2020-07-03,47
34380,1849.99,Low poverty,2020-07-04,48
82462,2248.21,Medium poverty,2020-07-04,48
51355,2413.77,High poverty,2020-07-04,48
37975,2789.78,Very high poverty,2020-07-04,48
34468,1855.09,Low poverty,2020-07-05,49
82765,2256.66,Medium poverty,2020-07-05,49
51554,2423.23,High poverty,2020-07-05,49
38373,2819.37,Very high poverty,2020-07-05,49
34487,1856.26,Low poverty,2020-07-06,50
82818,2258.18,Medium poverty,2020-07-06,50
51590,2424.99,High poverty,2020-07-06,50
38409,2821.92,Very high poverty,2020-07-06,50
34535,1859.1,Low poverty,2020-07-07,51
82928,2261.22,Medium poverty,2020-07-07,51
51673,2428.9,High poverty,2020-07-07,51
38461,2825.68,Very high poverty,2020-07-07,51
34562,1860.71,Low poverty,2020-07-08,52
83020,2263.79,Medium poverty,2020-07-08,52
51740,2432.02,High poverty,2020-07-08,52
38506,2828.99,Very high poverty,2020-07-08,52
34598,1862.73,Low poverty,2020-07-09,53
83162,2267.8,Medium poverty,2020-07-09,53
51856,2437.57,High poverty,2020-07-09,53
38596,2835.52,Very high poverty,2020-07-09,53
34643,1865.4,Low poverty,2020-07-10,54
83274,2271.01,Medium poverty,2020-07-10,54
51932,2441.17,High poverty,2020-07-10,54
38662,2840.31,Very high poverty,2020-07-10,54
34697,1868.65,Low poverty,2020-07-11,55
83389,2274.32,Medium poverty,2020-07-11,55
52005,2444.64,High poverty,2020-07-11,55
38740,2845.98,Very high poverty,2020-07-11,55
34750,1871.83,Low poverty,2020-07-12,56
83503,2277.55,Medium poverty,2020-07-12,56
52088,2448.62,High poverty,2020-07-12,56
38798,2850.13,Very high poverty,2020-07-12,56
34788,1874.06,Low poverty,2020-07-13,57
83581,2279.76,Medium poverty,2020-07-13,57
52162,2452.11,High poverty,2020-07-13,57
38864,2855.01,Very high poverty,2020-07-13,57
34828,1876.55,Low poverty,2020-07-14,58
83677,2282.5,Medium poverty,2020-07-14,58
52239,2455.8,High poverty,2020-07-14,58
38921,2859.21,Very high poverty,2020-07-14,58
34890,1880.27,Low poverty,2020-07-15,59
83806,2286.3,Medium poverty,2020-07-15,59
52337,2460.6,High poverty,2020-07-15,59
38982,2863.61,Very high poverty,2020-07-15,59
34946,1883.78,Low poverty,2020-07-16,60
83941,2290.13,Medium poverty,2020-07-16,60
52452,2466.13,High poverty,2020-07-16,60
39062,2869.42,Very high poverty,2020-07-16,60
34989,1886.34,Low poverty,2020-07-17,61
84054,2293.36,Medium poverty,2020-07-17,61
52549,2470.83,High poverty,2020-07-17,61
39130,2874.42,Very high poverty,2020-07-17,61
35034,1888.99,Low poverty,2020-07-18,62
84159,2296.39,Medium poverty,2020-07-18,62
52649,2475.6,High poverty,2020-07-18,62
39198,2879.45,Very high poverty,2020-07-18,62
35085,1891.92,Low poverty,2020-07-19,63
84268,2299.42,Medium poverty,2020-07-19,63
52725,2479.35,High poverty,2020-07-19,63
39249,2883.19,Very high poverty,2020-07-19,63
35130,1894.69,Low poverty,2020-07-20,64
84381,2302.64,Medium poverty,2020-07-20,64
52795,2482.72,High poverty,2020-07-20,64
39309,2887.48,Very high poverty,2020-07-20,64
35212,1899.5,Low poverty,2020-07-21,65
84568,2307.97,Medium poverty,2020-07-21,65
52925,2489.11,High poverty,2020-07-21,65
39444,2897.18,Very high poverty,2020-07-21,65
35226,1900.35,Low poverty,2020-07-22,66
84607,2309.12,Medium poverty,2020-07-22,66
52939,2489.78,High poverty,2020-07-22,66
39479,2899.65,Very high poverty,2020-07-22,66
35276,1903.44,Low poverty,2020-07-23,67
84715,2312.18,Medium poverty,2020-07-23,67
53046,2494.98,High poverty,2020-07-23,67
39549,2904.66,Very high poverty,2020-07-23,67
35313,1905.7,Low poverty,2020-07-24,68
84757,2313.4,Medium poverty,2020-07-24,68
53096,2497.46,High poverty,2020-07-24,68
39573,2906.38,Very high poverty,2020-07-24,68
35382,1909.57,Low poverty,2020-07-25,69
84956,2318.95,Medium poverty,2020-07-25,69
53239,2504.26,High poverty,2020-07-25,69
39678,2914.01,Very high poverty,2020-07-25,69
35394,1910.31,Low poverty,2020-07-26,70
84994,2320.03,Medium poverty,2020-07-26,70
53261,2505.36,High poverty,2020-07-26,70
39700,2915.66,Very high poverty,2020-07-26,70
35435,1912.66,Low poverty,2020-07-27,71
85083,2322.59,Medium poverty,2020-07-27,71
53311,2507.74,High poverty,2020-07-27,71
39740,2918.56,Very high poverty,2020-07-27,71
35493,1915.84,Low poverty,2020-07-28,72
85261,2327.73,Medium poverty,2020-07-28,72
53424,2513.19,High poverty,2020-07-28,72
39809,2923.56,Very high poverty,2020-07-28,72
35544,1918.86,Low poverty,2020-07-29,73
85376,2331.01,Medium poverty,2020-07-29,73
53514,2517.56,High poverty,2020-07-29,73
39874,2928.19,Very high poverty,2020-07-29,73
35590,1921.54,Low poverty,2020-07-30,74
85494,2334.43,Medium poverty,2020-07-30,74
53613,2522.31,High poverty,2020-07-30,74
39928,2932.12,Very high poverty,2020-07-30,74
35651,1925.33,Low poverty,2020-07-31,75
85612,2337.88,Medium poverty,2020-07-31,75
53676,2525.35,High poverty,2020-07-31,75
39980,2935.94,Very high poverty,2020-07-31,75
35691,1927.76,Low poverty,2020-08-01,76
85725,2341.05,Medium poverty,2020-08-01,76
53768,2529.84,High poverty,2020-08-01,76
40050,2941.02,Very high poverty,2020-08-01,76
35714,1929.1,Low poverty,2020-08-02,77
85804,2343.34,Medium poverty,2020-08-02,77
53826,2532.64,High poverty,2020-08-02,77
40099,2944.6,Very high poverty,2020-08-02,77
35745,1930.96,Low poverty,2020-08-03,78
85866,2345.11,Medium poverty,2020-08-03,78
53879,2535.24,High poverty,2020-08-03,78
40138,2947.41,Very high poverty,2020-08-03,78
35784,1933.21,Low poverty,2020-08-04,79
85989,2348.64,Medium poverty,2020-08-04,79
53968,2539.63,High poverty,2020-08-04,79
40208,2952.59,Very high poverty,2020-08-04,79
35832,1936.16,Low poverty,2020-08-05,80
86114,2352.31,Medium poverty,2020-08-05,80
54065,2544.37,High poverty,2020-08-05,80
40284,2957.96,Very high poverty,2020-08-05,80
35898,1940,Low poverty,2020-08-06,81
