count,GROUP,date,day
7535,Asian/Pacific-Islander,2020-05-18,1
30120,Black/African-American,2020-05-18,1
31215,Hispanic/Latino,2020-05-18,1
29251,White,2020-05-18,1
7556,Asian/Pacific-Islander,2020-05-19,2
30197,Black/African-American,2020-05-19,2
31347,Hispanic/Latino,2020-05-19,2
29283,White,2020-05-19,2
7586,Asian/Pacific-Islander,2020-05-20,3
30303,Black/African-American,2020-05-20,3
31511,Hispanic/Latino,2020-05-20,3
29438,White,2020-05-20,3
7603,Asian/Pacific-Islander,2020-05-21,4
30355,Black/African-American,2020-05-21,4
31641,Hispanic/Latino,2020-05-21,4
29519,White,2020-05-21,4
7631,Asian/Pacific-Islander,2020-05-22,5
30473,Black/African-American,2020-05-22,5
31815,Hispanic/Latino,2020-05-22,5
29611,White,2020-05-22,5
7660,Asian/Pacific-Islander,2020-05-23,6
30564,Black/African-American,2020-05-23,6
31961,Hispanic/Latino,2020-05-23,6
29687,White,2020-05-23,6
7681,Asian/Pacific-Islander,2020-05-24,7
30662,Black/African-American,2020-05-24,7
32049,Hispanic/Latino,2020-05-24,7
29770,White,2020-05-24,7
7708,Asian/Pacific-Islander,2020-05-25,8
30757,Black/African-American,2020-05-25,8
32225,Hispanic/Latino,2020-05-25,8
29826,White,2020-05-25,8
7717,Asian/Pacific-Islander,2020-05-26,9
30820,Black/African-American,2020-05-26,9
32292,Hispanic/Latino,2020-05-26,9
29880,White,2020-05-26,9
7719,Asian/Pacific-Islander,2020-05-27,10
30870,Black/African-American,2020-05-27,10
32355,Hispanic/Latino,2020-05-27,10
29887,White,2020-05-27,10
7748,Asian/Pacific-Islander,2020-05-28,11
30992,Black/African-American,2020-05-28,11
32486,Hispanic/Latino,2020-05-28,11
29996,White,2020-05-28,11
7761,Asian/Pacific-Islander,2020-05-29,12
31092,Black/African-American,2020-05-29,12
32614,Hispanic/Latino,2020-05-29,12
30093,White,2020-05-29,12
7856,Asian/Pacific-Islander,2020-05-30,13
31395,Black/African-American,2020-05-30,13
33606,Hispanic/Latino,2020-05-30,13
30250,White,2020-05-30,13
7874,Asian/Pacific-Islander,2020-05-31,14
31506,Black/African-American,2020-05-31,14
33743,Hispanic/Latino,2020-05-31,14
30298,White,2020-05-31,14
7881,Asian/Pacific-Islander,2020-06-01,15
31584,Black/African-American,2020-06-01,15
33825,Hispanic/Latino,2020-06-01,15
30340,White,2020-06-01,15
7880,Asian/Pacific-Islander,2020-06-02,16
31621,Black/African-American,2020-06-02,16
33910,Hispanic/Latino,2020-06-02,16
30349,White,2020-06-02,16
7901,Asian/Pacific-Islander,2020-06-03,17
31679,Black/African-American,2020-06-03,17
33964,Hispanic/Latino,2020-06-03,17
30401,White,2020-06-03,17
7916,Asian/Pacific-Islander,2020-06-04,18
31741,Black/African-American,2020-06-04,18
34059,Hispanic/Latino,2020-06-04,18
30443,White,2020-06-04,18
7907,Asian/Pacific-Islander,2020-06-05,19
31784,Black/African-American,2020-06-05,19
34302,Hispanic/Latino,2020-06-05,19
30473,White,2020-06-05,19
7955,Asian/Pacific-Islander,2020-06-06,20
31910,Black/African-American,2020-06-06,20
35223,Hispanic/Latino,2020-06-06,20
30596,White,2020-06-06,20
7976,Asian/Pacific-Islander,2020-06-07,21
32001,Black/African-American,2020-06-07,21
35282,Hispanic/Latino,2020-06-07,21
30705,White,2020-06-07,21
7983,Asian/Pacific-Islander,2020-06-08,22
32053,Black/African-American,2020-06-08,22
35332,Hispanic/Latino,2020-06-08,22
30741,White,2020-06-08,22
7990,Asian/Pacific-Islander,2020-06-09,23
32077,Black/African-American,2020-06-09,23
35386,Hispanic/Latino,2020-06-09,23
30763,White,2020-06-09,23
8007,Asian/Pacific-Islander,2020-06-10,24
32124,Black/African-American,2020-06-10,24
35449,Hispanic/Latino,2020-06-10,24
30797,White,2020-06-10,24
8016,Asian/Pacific-Islander,2020-06-11,25
