GROUP,boro,count,rate,date,day
Asian/Pacific-Islander,1,1415,424.67,2020-05-18,1
Black/African-American,1,10138,1169.62,2020-05-18,1
Hispanic/Latino,1,3943,837.26,2020-05-18,1
White,1,9817,977.22,2020-05-18,1
Asian/Pacific-Islander,2,711,1151.17,2020-05-18,1
Black/African-American,2,9125,2040.63,2020-05-18,1
Hispanic/Latino,2,13423,1730.08,2020-05-18,1
White,2,2860,1808.29,2020-05-18,1
Asian/Pacific-Islander,3,791,342.75,2020-05-18,1
Black/African-American,3,3034,1249.7,2020-05-18,1
Hispanic/Latino,3,4055,872.86,2020-05-18,1
White,3,4563,488.76,2020-05-18,1
Asian/Pacific-Islander,4,4276,630.42,2020-05-18,1
Black/African-American,4,6924,1482.97,2020-05-18,1
Hispanic/Latino,4,8869,1395.03,2020-05-18,1
White,4,7252,1011.43,2020-05-18,1
Asian/Pacific-Islander,5,340,637.09,2020-05-18,1
Black/African-American,5,895,1988.7,2020-05-18,1
Hispanic/Latino,5,918,1138.26,2020-05-18,1
White,5,4740,1466.41,2020-05-18,1
Asian/Pacific-Islander,1,1415,424.59,2020-05-19,2
Black/African-American,1,10165,1172.77,2020-05-19,2
Hispanic/Latino,1,3946,837.97,2020-05-19,2
White,1,9811,976.87,2020-05-19,2
Asian/Pacific-Islander,2,711,1151.17,2020-05-19,2
Black/African-American,2,9153,2047.14,2020-05-19,2
Hispanic/Latino,2,13495,1739.38,2020-05-19,2
White,2,2861,1808.42,2020-05-19,2
Asian/Pacific-Islander,3,793,343.64,2020-05-19,2
Black/African-American,3,3042,1253.15,2020-05-19,2
Hispanic/Latino,3,4073,876.75,2020-05-19,2
White,3,4566,488.92,2020-05-19,2
Asian/Pacific-Islander,4,4292,632.88,2020-05-19,2
Black/African-American,4,6936,1485.48,2020-05-19,2
Hispanic/Latino,4,8906,1400.81,2020-05-19,2
White,4,7275,1014.3,2020-05-19,2
Asian/Pacific-Islander,5,342,639.64,2020-05-19,2
Black/African-American,5,897,1993.22,2020-05-19,2
Hispanic/Latino,5,920,1139.94,2020-05-19,2
White,5,4751,1469.54,2020-05-19,2
Asian/Pacific-Islander,1,1423,427.18,2020-05-20,3
Black/African-American,1,10205,1177.37,2020-05-20,3
Hispanic/Latino,1,3975,843.91,2020-05-20,3
White,1,9901,985.44,2020-05-20,3
Asian/Pacific-Islander,2,719,1164.55,2020-05-20,3
Black/African-American,2,9181,2053.18,2020-05-20,3
Hispanic/Latino,2,13562,1747.91,2020-05-20,3
White,2,2868,1813.29,2020-05-20,3
Asian/Pacific-Islander,3,797,345.32,2020-05-20,3
Black/African-American,3,3060,1260.48,2020-05-20,3
Hispanic/Latino,3,4088,879.87,2020-05-20,3
White,3,4585,491.02,2020-05-20,3
Asian/Pacific-Islander,4,4301,634.27,2020-05-20,3
Black/African-American,4,6956,1489.98,2020-05-20,3
Hispanic/Latino,4,8954,1408.08,2020-05-20,3
White,4,7301,1018.08,2020-05-20,3
Asian/Pacific-Islander,5,343,642.23,2020-05-20,3
Black/African-American,5,897,1993.22,2020-05-20,3
Hispanic/Latino,5,925,1147.47,2020-05-20,3
White,5,4762,1472.74,2020-05-20,3
Asian/Pacific-Islander,1,1427,428.36,2020-05-21,4
Black/African-American,1,10217,1178.92,2020-05-21,4
Hispanic/Latino,1,3993,847.71,2020-05-21,4
White,1,9931,988.49,2020-05-21,4
Asian/Pacific-Islander,2,722,1168.64,2020-05-21,4
Black/African-American,2,9200,2057.72,2020-05-21,4
Hispanic/Latino,2,13606,1753.8,2020-05-21,4
White,2,2870,1813.54,2020-05-21,4
Asian/Pacific-Islander,3,797,345.5,2020-05-21,4
Black/African-American,3,3067,1263.18,2020-05-21,4
Hispanic/Latino,3,4106,883.89,2020-05-21,4
White,3,4601,492.63,2020-05-21,4
Asian/Pacific-Islander,4,4309,635.78,2020-05-21,4
Black/African-American,4,6970,1493,2020-05-21,4
Hispanic/Latino,4,9000,1415.17,2020-05-21,4
White,4,7325,1021.82,2020-05-21,4
Asian/Pacific-Islander,5,344,643.73,2020-05-21,4
Black/African-American,5,897,1993.22,2020-05-21,4
Hispanic/Latino,5,927,1152.17,2020-05-21,4
White,5,4769,1474.34,2020-05-21,4
Asian/Pacific-Islander,1,1432,429.86,2020-05-22,5
Black/African-American,1,10281,1186.35,2020-05-22,5
Hispanic/Latino,1,4032,856.23,2020-05-22,5
White,1,9962,991.54,2020-05-22,5
Asian/Pacific-Islander,2,722,1168.16,2020-05-22,5
Black/African-American,2,9223,2062.87,2020-05-22,5
Hispanic/Latino,2,13672,1762.1,2020-05-22,5
White,2,2882,1819.5,2020-05-22,5
Asian/Pacific-Islander,3,800,346.86,2020-05-22,5
Black/African-American,3,3075,1266.42,2020-05-22,5
Hispanic/Latino,3,4139,891.16,2020-05-22,5
White,3,4611,493.73,2020-05-22,5
Asian/Pacific-Islander,4,4328,638.65,2020-05-22,5
Black/African-American,4,6990,1497.37,2020-05-22,5
Hispanic/Latino,4,9035,1420.91,2020-05-22,5
White,4,7350,1025.54,2020-05-22,5
Asian/Pacific-Islander,5,346,647.59,2020-05-22,5
Black/African-American,5,900,1998.59,2020-05-22,5
Hispanic/Latino,5,928,1154.17,2020-05-22,5
White,5,4783,1478.59,2020-05-22,5
Asian/Pacific-Islander,1,1436,431.09,2020-05-23,6
Black/African-American,1,10310,1189.68,2020-05-23,6
Hispanic/Latino,1,4059,862.12,2020-05-23,6
White,1,9988,994.3,2020-05-23,6
Asian/Pacific-Islander,2,725,1174.49,2020-05-23,6
Black/African-American,2,9250,2069.09,2020-05-23,6
Hispanic/Latino,2,13741,1771.03,2020-05-23,6
White,2,2890,1824.15,2020-05-23,6
Asian/Pacific-Islander,3,806,349.42,2020-05-23,6
Black/African-American,3,3088,1271.43,2020-05-23,6
Hispanic/Latino,3,4158,895.24,2020-05-23,6
White,3,4623,494.59,2020-05-23,6
Asian/Pacific-Islander,4,4344,641.31,2020-05-23,6
Black/African-American,4,7010,1502.04,2020-05-23,6
Hispanic/Latino,4,9065,1425.73,2020-05-23,6
White,4,7372,1028.25,2020-05-23,6
Asian/Pacific-Islander,5,346,647.59,2020-05-23,6
Black/African-American,5,902,2003.14,2020-05-23,6
Hispanic/Latino,5,929,1155.38,2020-05-23,6
White,5,4791,1480.78,2020-05-23,6
Asian/Pacific-Islander,1,1441,432.78,2020-05-24,7
Black/African-American,1,10354,1195.06,2020-05-24,7
Hispanic/Latino,1,4069,864.22,2020-05-24,7
White,1,10023,997.64,2020-05-24,7
Asian/Pacific-Islander,2,727,1177.13,2020-05-24,7
Black/African-American,2,9270,2073.8,2020-05-24,7
Hispanic/Latino,2,13785,1776.57,2020-05-24,7
White,2,2890,1823.87,2020-05-24,7
Asian/Pacific-Islander,3,810,351.3,2020-05-24,7
Black/African-American,3,3101,1276.96,2020-05-24,7
Hispanic/Latino,3,4170,897.8,2020-05-24,7
White,3,4643,496.71,2020-05-24,7
Asian/Pacific-Islander,4,4354,642.93,2020-05-24,7
Black/African-American,4,7031,1506.33,2020-05-24,7
Hispanic/Latino,4,9086,1429.3,2020-05-24,7
White,4,7394,1031.14,2020-05-24,7
Asian/Pacific-Islander,5,346,647.59,2020-05-24,7
Black/African-American,5,901,2000.93,2020-05-24,7
Hispanic/Latino,5,930,1156.48,2020-05-24,7
White,5,4797,1482.55,2020-05-24,7
Asian/Pacific-Islander,1,1444,433.38,2020-05-25,8
Black/African-American,1,10382,1198.5,2020-05-25,8
Hispanic/Latino,1,4088,868.28,2020-05-25,8
White,1,10037,998.95,2020-05-25,8
Asian/Pacific-Islander,2,735,1189.15,2020-05-25,8
Black/African-American,2,9312,2083.36,2020-05-25,8
Hispanic/Latino,2,13874,1788.15,2020-05-25,8
White,2,2898,1826.78,2020-05-25,8
Asian/Pacific-Islander,3,811,351.84,2020-05-25,8
Black/African-American,3,3103,1277.54,2020-05-25,8
Hispanic/Latino,3,4198,903.9,2020-05-25,8
White,3,4653,497.82,2020-05-25,8
Asian/Pacific-Islander,4,4368,645.02,2020-05-25,8
Black/African-American,4,7050,1509.48,2020-05-25,8
Hispanic/Latino,4,9121,1434.98,2020-05-25,8
White,4,7407,1032.59,2020-05-25,8
Asian/Pacific-Islander,5,347,649.84,2020-05-25,8
Black/African-American,5,905,2009.98,2020-05-25,8
Hispanic/Latino,5,935,1163.41,2020-05-25,8
White,5,4808,1485.37,2020-05-25,8
Asian/Pacific-Islander,1,1445,433.67,2020-05-26,9
Black/African-American,1,10400,1200.56,2020-05-26,9
Hispanic/Latino,1,4094,869.68,2020-05-26,9
White,1,10053,1000.61,2020-05-26,9
Asian/Pacific-Islander,2,737,1192.5,2020-05-26,9
Black/African-American,2,9324,2086.06,2020-05-26,9
Hispanic/Latino,2,13906,1792.34,2020-05-26,9
White,2,2902,1829.18,2020-05-26,9
Asian/Pacific-Islander,3,813,352.64,2020-05-26,9
Black/African-American,3,3112,1281.22,2020-05-26,9
Hispanic/Latino,3,4211,906.89,2020-05-26,9
White,3,4664,498.91,2020-05-26,9
Asian/Pacific-Islander,4,4372,645.72,2020-05-26,9
Black/African-American,4,7073,1514.63,2020-05-26,9
Hispanic/Latino,4,9136,1437.54,2020-05-26,9
White,4,7422,1034.42,2020-05-26,9
Asian/Pacific-Islander,5,347,649.84,2020-05-26,9
Black/African-American,5,906,2012.27,2020-05-26,9
Hispanic/Latino,5,936,1164.66,2020-05-26,9
White,5,4815,1487.37,2020-05-26,9
Asian/Pacific-Islander,1,1444,433.46,2020-05-27,10
Black/African-American,1,10424,1203.44,2020-05-27,10
Hispanic/Latino,1,4103,871.81,2020-05-27,10
White,1,10056,1000.74,2020-05-27,10
Asian/Pacific-Islander,2,737,1193.17,2020-05-27,10
Black/African-American,2,9334,2088.37,2020-05-27,10
Hispanic/Latino,2,13936,1796.19,2020-05-27,10
White,2,2906,1831.77,2020-05-27,10
Asian/Pacific-Islander,3,813,352.72,2020-05-27,10
Black/African-American,3,3118,1283.63,2020-05-27,10
Hispanic/Latino,3,4217,908.08,2020-05-27,10
White,3,4663,498.62,2020-05-27,10
Asian/Pacific-Islander,4,4376,646.42,2020-05-27,10
Black/African-American,4,7080,1515.76,2020-05-27,10
Hispanic/Latino,4,9149,1439.6,2020-05-27,10
White,4,7430,1035.39,2020-05-27,10
Asian/Pacific-Islander,5,346,648.27,2020-05-27,10
Black/African-American,5,909,2019.07,2020-05-27,10
Hispanic/Latino,5,941,1171.5,2020-05-27,10
White,5,4808,1485.81,2020-05-27,10
Asian/Pacific-Islander,1,1451,435.74,2020-05-28,11
Black/African-American,1,10471,1209.22,2020-05-28,11
