GROUP,boro,count,date,day
Female,1,29351,2020-07-07,51
Male,1,30154,2020-07-07,51
Female,2,24133,2020-07-07,51
Male,2,23920,2020-07-07,51
Female,3,12717,2020-07-07,51
Male,3,14436,2020-07-07,51
Female,4,31332,2020-07-07,51
Male,4,33984,2020-07-07,51
Female,5,6694,2020-07-07,51
Male,5,7376,2020-07-07,51
Female,1,29306,2020-07-06,50
Male,1,30116,2020-07-06,50
Female,2,24106,2020-07-06,50
Male,2,23889,2020-07-06,50
Female,3,12688,2020-07-06,50
Male,3,14401,2020-07-06,50
Female,4,31285,2020-07-06,50
Male,4,33944,2020-07-06,50
Female,5,6688,2020-07-06,50
Male,5,7365,2020-07-06,50
Female,1,29283,2020-07-05,49
Male,1,30091,2020-07-05,49
Female,2,24091,2020-07-05,49
Male,2,23868,2020-07-05,49
Female,3,12660,2020-07-05,49
Male,3,14367,2020-07-05,49
Female,4,31261,2020-07-05,49
Male,4,33923,2020-07-05,49
Female,5,6682,2020-07-05,49
Male,5,7362,2020-07-05,49
Female,1,29242,2020-07-04,48
Male,1,30043,2020-07-04,48
Female,2,24062,2020-07-04,48
Male,2,23836,2020-07-04,48
Female,3,12641,2020-07-04,48
Male,3,14341,2020-07-04,48
Female,4,31218,2020-07-04,48
Male,4,33884,2020-07-04,48
Female,5,6674,2020-07-04,48
Male,5,7355,2020-07-04,48
Female,1,29199,2020-07-03,47
Male,1,29989,2020-07-03,47
Female,2,24023,2020-07-03,47
Male,2,23811,2020-07-03,47
Female,3,12614,2020-07-03,47
Male,3,14311,2020-07-03,47
Female,4,31165,2020-07-03,47
Male,4,33833,2020-07-03,47
Female,5,6663,2020-07-03,47
Male,5,7341,2020-07-03,47
Female,1,29140,2020-07-02,46
Male,1,29937,2020-07-02,46
Female,2,23983,2020-07-02,46
Male,2,23775,2020-07-02,46
Female,3,12578,2020-07-02,46
Male,3,14268,2020-07-02,46
Female,4,31094,2020-07-02,46
Male,4,33775,2020-07-02,46
Female,5,6646,2020-07-02,46
Male,5,7322,2020-07-02,46
Female,1,29076,2020-07-01,45
Male,1,29891,2020-07-01,45
Female,2,23942,2020-07-01,45
Male,2,23733,2020-07-01,45
Female,3,12548,2020-07-01,45
Male,3,14242,2020-07-01,45
Female,4,31038,2020-07-01,45
Male,4,33732,2020-07-01,45
Female,5,6639,2020-07-01,45
Male,5,7316,2020-07-01,45
Female,1,28997,2020-06-30,44
Male,1,29833,2020-06-30,44
Female,2,23911,2020-06-30,44
Male,2,23713,2020-06-30,44
Female,3,12519,2020-06-30,44
Male,3,14223,2020-06-30,44
Female,4,30997,2020-06-30,44
Male,4,33688,2020-06-30,44
Female,5,6630,2020-06-30,44
Male,5,7307,2020-06-30,44
Female,1,28891,2020-06-28,42
Male,1,29742,2020-06-28,42
Female,2,23847,2020-06-28,42
Male,2,23675,2020-06-28,42
Female,3,12486,2020-06-28,42
Male,3,14201,2020-06-28,42
Female,4,30938,2020-06-28,42
Male,4,33622,2020-06-28,42
Female,5,6618,2020-06-28,42
Male,5,7296,2020-06-28,42
Female,1,28834,2020-06-27,41
Male,1,29684,2020-06-27,41
Female,2,23818,2020-06-27,41
Male,2,23650,2020-06-27,41
Female,3,12466,2020-06-27,41
Male,3,14175,2020-06-27,41
Female,4,30881,2020-06-27,41
Male,4,33570,2020-06-27,41
Female,5,6609,2020-06-27,41
