Name,FIPS,"# Population, 2020","# Total Population [B01003] | Total population, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Less than high school graduate, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | High school graduate (includes equivalency), 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Some college or associate's degree, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Bachelor's degree, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Graduate or professional degree, 2017"
"10001, New York, NY",10001,22373,23947,6.1326,12.0579,11.5589,39.0325,31.2181
"10002, New York, NY",10002,86522,77925,33.2338,20.0975,13.5384,21.7204,11.41
"10003, New York, NY",10003,53786,55035,3.5003,5.2721,10.8518,43.8852,36.4905
"10004, New York, NY",10004,2089,2990,1.4114,2.034,6.0606,50.934,39.56
"10005, New York, NY",10005,8558,8680,0.7028,5.31,5.513,44.8071,43.667
"10006, New York, NY",10006,3771,3579,0.6398,1.2044,4.968,51.2985,41.8893
"10007, New York, NY",10007,5522,7036,6.8778,9.1829,7.1589,37.1064,39.6739
"10009, New York, NY",10009,63513,60141,12.4526,14.2254,14.5685,36.9806,21.7729
"10010, New York, NY",10010,33326,33119,4.1877,7.5749,10.2011,38.7618,39.2744
"10011, New York, NY",10011,46594,50711,4.7864,7.004,9.8791,39.9524,38.3781
"10012, New York, NY",10012,25213,24527,5.7669,7.672,6.9938,42.8534,36.7138
"10013, New York, NY",10013,26887,29619,19.2939,8.9738,9.9412,36.2696,25.5216
"10014, New York, NY",10014,31449,31794,0.912,5.4173,8.5948,48.3693,36.7066
"10016, New York, NY",10016,54313,51448,4.2518,6.9651,10.8946,44.6089,33.2796
"10017, New York, NY",10017,14877,16388,2.2862,4.5794,10.6331,45.2674,37.2338
"10018, New York, NY",10018,5739,9719,7.6273,7.6273,12.6828,38.7166,33.3459
"10019, New York, NY",10019,42515,41592,4.7858,9.5828,13.4604,37.0035,35.1675
"10020, New York, NY",10020,0,0,0,0,0,0,0
"10021, New York, NY",10021,47316,44983,1.1732,5.022,10.975,40.4704,42.3594
