Name,FIPS,"# Population, 2020","# Total Population [B01003] | Total population, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone, 2017","# Sex By Age (Hispanic Or Latino) [B01001I] | Hispanic or Latino population, 2017","# Sex By Age (White Alone, Not Hispanic Or Latino) [B01001H] | White alone, not Hispanic or Latino population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | Under 5 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 5 to 9 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 10 to 14 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 15 to 17 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 18 and 19 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 20 to 24 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 25 to 29 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 30 to 34 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 35 to 44 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 45 to 54 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 55 to 64 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 65 to 74 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 75 to 84 years, 2017","# Sex By Age (Asian Alone) [B01001D] | People who are Asian alone | 85 years and over, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | Under 5 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 5 to 9 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 10 to 14 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 15 to 17 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 18 and 19 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 20 to 24 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 25 to 29 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 30 to 34 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 35 to 44 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 45 to 54 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 55 to 64 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 65 to 74 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 75 to 84 years, 2017","# Sex By Age (Black Or African American Alone) [B01001B] | Black or African American alone | 85 years and over, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | Under 5 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 5 to 9 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 10 to 14 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 15 to 17 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 18 and 19 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 20 to 24 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 25 to 29 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 30 to 34 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 35 to 44 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 45 to 54 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 55 to 64 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 65 to 74 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 75 to 84 years, 2017","# Sex By Age (Some Other Race Alone) [B01001F] | People who are Some Other Race alone | 85 years and over, 2017","# Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Less than high school graduate, 2017","# Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | High school graduate (includes equivalency), 2017","# Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Some college or associate's degree, 2017","# Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Bachelor's degree, 2017","# Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Graduate or professional degree, 2017","# Aggregate Number Of Vehicles (Car, Truck, Or Van) Used In Commuting By Workers 16 Years And Over By Sex [B08015] | Aggregate number of vehicles (car, truck, or van) used in commuting, 2017","# Means Of Transportation To Work By Vehicles Available [B08141] | Workers 16 years and over in households | Walked, 2017","# Means Of Transportation To Work By Vehicles Available [B08141] | Workers 16 years and over in households | No vehicle available, 2017","# Means Of Transportation To Work By Vehicles Available [B08141] | Workers 16 years and over in households | Car, truck, or van - drove alone | No vehicle available, 2017","# Means Of Transportation To Work By Vehicles Available [B08141] | Workers 16 years and over in households | Car, truck, or van - carpooled, 2017","% Aggregate Number Of Vehicles (Car, Truck, Or Van) Used In Commuting By Workers 16 Years And Over By Sex [B08015] | Aggregate number of vehicles (car, truck, or van) used in commuting | Male, 2017","% Aggregate Number Of Vehicles (Car, Truck, Or Van) Used In Commuting By Workers 16 Years And Over By Sex [B08015] | Aggregate number of vehicles (car, truck, or van) used in commuting | Female, 2017","% Employment, Retail Trade, 2017","% Employment, Wholesale Trade, 2017","% Employment, Transportation and Warehousing, 2017","% Employment, Arts, Entertainment, Accommodation and Food Services, etc., 2017","% Employment, Health Care and Social Assistance, 2017","% Employment, Accomodation and Food Services (Pop 16+), 2017","% Employment, Car, Truck, Van to Work, 2017","% Employment, Public Transportation to Work, 2017","% Employment, Other Transportation to Work, 2017","% Employment, Work at Home, 2017","% Employment, Walked to Work, 2017","% Employment, Railroad to Work, 2017","% Employment, Motorcycle to Work, 2017","% Employment, Bicycle to Work, 2017","% Employment, Car, Truck, Van to Work Alone, 2017","% Occupation, Production, Transportation, and Material Moving, 2017","% Occupation, Service, 2017","% Employment, Travel Time Less than 15 Min, 2017","% Employment, Travel Time 15-29 Min, 2017","% Employment, Travel Time 30-59 Min, 2017","% Employment, Travel Time 60-89 Min, 2017","% Employment, Travel Time 90+ Min, 2017"
"10001, New York, NY",10001,22373,23947,14923,2626,5242,565,3452,12349,622,893,832,355,882,387,384,1753,2935,2747,1823,1682,1596,1320,1348,550,887,356,675,607,789,284,240,11.8715,12.8615,12.4806,115,61,166,40,147,668,864,860,819,385,726,245,115,31,148,481,380,103,174,170,86,55,210,366,215,163,75,0,43,19,25,0,0,74,65,38,98,45,89,51,18,0,1094,2151,2062,6963,5569,470,4815,11189,125,144,71.2766,27.6596,8.4915,2.1151,1.6193,9.8241,12.2647,5.2762,5.5241,46.8815,0.922,7.7012,32.3468,1.5341,0,2.5645,3.9436,2.7504,13.7677,16.3245,37.0264,33.0286,4.5092,1.4101
"10002, New York, NY",10002,86522,77925,24502,5817,33675,10713,21350,16208,2827,2907,3007,1843,1366,448,1019,3570,8004,6601,5552,4586,5656,4944,4582,2142,3134,2025,1964,3760,2876,2317,2795,27.1734,28.817,28.2764,769,1212,1103,846,500,1291,2633,2380,3908,5446,4634,3993,3482,1478,308,176,238,200,166,473,503,590,627,914,1001,253,253,115,565,632,797,314,336,819,944,924,1678,1317,797,1147,244,199,20252,12247,8250,13236,6953,2155,8625,25267,253,1031,70.5336,29.6984,9.9073,2.7639,2.4781,18.7703,13.214,15.2557,9.0553,57.4798,0.9014,3.7068,25.4435,1.2624,0.0494,2.2417,5.1381,6.1563,26.1735,10.2034,29.94,42.7228,10.4372,2.9898
"10003, New York, NY",10003,53786,55035,42881,2245,7246,1221,4358,40150,1846,797,593,571,6852,1702,1049,2286,8382,6007,4860,3274,2601,2208,2405,1076,2147,934,1219,1447,1015,812,952,10.2536,11.0608,10.9028,199,98,58,57,1414,951,907,951,1038,735,451,326,24,37,19,15,85,34,466,240,208,292,460,115,226,74,6,5,15,13,0,35,33,78,241,148,186,62,364,46,0,0,1377,2074,4269,17264,14355,1595,7160,23249,450,511,54.5455,45.4545,7.2251,3.1284,1.0273,9.4379,7.8365,4.8043,4.8757,57.5929,0.6517,9.3852,22.0384,1.1576,0.1086,2.1104,4.1277,1.437,7.2375,13.5067,43.5275,28.1835,4.1402,1.2569
"10004, New York, NY",10004,2089,2990,2060,34,790,31,222,1882,100,83,111,124,11,7,12,133,412,454,367,240,163,240,183,42,110,51,32,81,29,5,0,7.8985,7.8528,7.5536,44,24,78,49,11,43,109,154,198,65,15,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,11,0,11,0,9,0,0,0,0,0,0,0,0,34,49,146,1227,953,160,413,1583,57,13,59.375,40.625,9.2791,1.4571,0.3834,6.5184,4.908,3.8344,5.5215,58.819,0.1534,3.2209,30.4448,1.4571,0,0.0767,4.8313,1.3037,4.2945,21.6258,31.5951,37.5,3.7577,2.3006
"10005, New York, NY",10005,8558,8680,6494,270,1404,192,527,6200,401,268,126,140,104,77,224,937,1949,1364,1363,623,451,189,242,30,13,0,7,130,42,0,0,9.5583,10.3586,10.0993,54,4,0,50,0,253,405,304,195,61,36,0,42,0,0,0,0,0,0,3,27,30,141,61,8,0,0,0,23,0,0,0,0,0,83,3,83,0,0,0,0,0,45,340,353,2869,2796,110,2044,5615,17,10,68.1818,31.8182,7.9029,1.0423,0.42,6.5495,6.5028,4.3715,4.1226,62.3211,0.7001,4.1693,26.8202,0.6223,0,0.4356,4.107,0.0622,3.3914,19.6173,35.4543,36.5899,2.8469,1.3223
"10006, New York, NY",10006,3771,3579,2490,60,662,113,439,2303,398,117,37,0,0,0,20,350,772,761,447,193,199,33,166,60,26,0,0,0,0,0,0,8.6184,9.3785,8.8312,0,0,0,0,0,73,230,202,128,0,29,0,0,0,0,0,0,0,0,0,17,22,21,0,0,0,0,0,0,0,0,0,0,0,79,20,14,0,0,0,0,0,17,32,132,1363,1113,,895,2125,0,75,,,8.0928,0.9904,0.0566,10.8376,3.9898,4.9519,4.6123,57.5835,0,7.0458,29.9377,0.5659,0,0.0283,4.6123,0.7357,3.0843,25.099,40.6904,25.7499,0.6791,0.7357
"10007, New York, NY",10007,5522,7036,5110,385,955,129,626,4753,453,517,234,170,77,58,90,101,526,1203,593,795,821,313,281,255,135,78,119,97,29,70,21,2.8613,2.9145,2.7348,15,68,0,0,0,55,22,160,225,210,128,72,0,0,0,0,0,0,7,35,64,70,89,76,4,21,19,0,0,23,0,0,0,42,0,13,38,13,0,0,0,0,367,490,382,1980,2117,330,889,2437,109,17,78.7879,21.2121,4.1705,4.7575,0.8341,5.8696,6.8891,1.0504,6.1477,63.2067,0.7105,6.9818,18.0723,1.2357,0,0.0309,4.603,1.6991,2.4096,13.0677,43.4353,30.9237,3.2437,2.3479
"10009, New York, NY",10009,63513,60141,36482,5286,8046,8216,15539,29968,1533,1518,2060,1597,668,648,1068,4119,9290,6281,4437,3492,3954,3525,3741,1505,1778,1538,1547,2210,1371,975,1286,18.0609,19.3039,18.8145,88,101,252,139,200,886,973,923,1168,1104,853,678,527,154,356,183,281,159,80,124,531,227,786,811,707,617,230,194,360,518,398,512,236,718,746,466,1169,1180,803,661,230,219,5844,6676,6837,17355,10218,1620,6981,24985,225,394,70.9877,29.0123,7.0906,2.437,2.5105,11.713,10.8168,6.3894,5.9795,57.5811,0.5428,6.5393,22.363,1.1365,0.1866,5.038,4.8543,3.5707,12.646,9.2788,30.6522,44.3866,6.0502,3.0929
"10010, New York, NY",10010,33326,33119,24676,1926,4903,296,4223,21184,1530,947,726,150,1272,699,443,1992,5364,3784,2562,2157,2155,1735,1960,373,749,390,987,1349,777,388,630,11.5435,12.3548,11.9056,205,38,52,29,250,577,933,775,933,402,362,228,119,0,0,0,30,38,124,232,70,37,254,604,247,211,74,5,14,0,0,0,0,36,97,58,17,31,22,21,0,0,1062,1921,2587,9830,9960,910,4750,14117,126,245,69.7802,29.6703,9.2849,1.8368,0.7817,7.3042,9.5727,3.1989,7.2706,49.0432,0.8777,7.1651,30.5837,2.1486,0.024,1.4052,5.9565,1.4292,7.0836,14.148,38.9238,32.1951,5.4722,2.0958
"10011, New York, NY",10011,46594,50711,39858,2748,5289,1285,5640,35997,1685,1445,1020,705,506,368,541,2008,5872,6860,4488,4066,3612,2591,3447,1508,1882,1297,1252,2062,1534,821,1141,8.5419,9.2208,9.1037,92,89,60,137,136,451,399,766,1722,794,385,100,95,63,230,155,88,116,53,165,454,97,187,243,572,237,138,13,128,30,17,17,4,57,230,31,11,275,246,44,101,94,2031,2972,4192,16953,16285,1655,8183,25240,596,443,63.7462,36.2538,10.4708,2.3429,1.1859,9.6696,8.4709,3.3653,5.9998,55.3893,0.8654,7.4068,23.8037,1.4294,0.1154,2.2563,5.4101,1.8461,7.3684,18.4129,42.6557,25.8421,3.2178,2.4647
"10012, New York, NY",10012,25213,24527,18138,761,4188,321,1609,16992,848,436,445,333,287,339,414,2108,4043,3306,2197,1570,1266,1446,923,458,816,538,817,651,598,273,415,9.8838,10.6289,10.4253,207,12,41,41,38,567,641,468,818,467,279,322,181,106,0,0,0,102,8,103,146,107,109,84,28,26,31,17,0,0,0,0,0,24,16,42,120,52,52,15,0,0,1114,1482,1351,8278,7092,685,4225,11985,109,264,62.0438,37.9562,7.2676,1.4866,0.7496,12.693,5.0251,5.5016,4.4978,54.9203,0.4511,8.8749,26.6374,1.3595,0.1207,1.7788,4.1548,2.3061,8.1634,22.1396,39.4321,24.3314,3.043,2.179
"10013, New York, NY",10013,26887,29619,15957,1325,10358,563,1804,14966,1912,1520,987,461,460,622,377,848,2851,3059,3126,2133,1640,1659,1340,946,981,740,706,1085,778,441,947,12.0504,12.9691,12.5276,220,578,316,118,210,434,609,896,1663,1325,1429,1012,801,747,27,0,0,29,32,178,94,124,172,262,202,122,25,58,32,47,83,0,7,29,23,118,61,129,0,34,0,0,4328,2013,2230,8136,5725,705,4544,10921,127,331,70.2128,29.078,7.5842,2.1004,1.6416,10.552,9.5556,4.4946,6.3584,50.7527,1.233,9.0753,27.2975,0.9892,0.1147,1.2186,4.9606,3.276,10.5018,16.1649,37.405,29.8853,5.5627,1.9068
