Name,FIPS,"# Total Population [B01003] | Total population, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van | Carpooled, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Bicycle, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Walked, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Taxicab, motorcycle, or other means, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Worked at home, 2017"
"10001, New York, NY",10001,23947,3.9137,1.0118,3.6889,34.2116,5.1925,6.8789
"10002, New York, NY",10002,77925,8.6368,3.0897,4.7319,25.9882,1.9269,4.9357
"10003, New York, NY",10003,55035,5.7953,1.6304,3.7849,26.2029,3.7389,7.3552
"10004, New York, NY",10004,2990,8.0421,0.6223,0.3351,19.7702,1.0053,11.5845
"10005, New York, NY",10005,8680,1.715,0.1478,0,30.2188,0.6357,3.4743
"10006, New York, NY",10006,3579,4.3361,2.878,1.0361,34.3438,0.4988,6.9071
"10007, New York, NY",10007,7036,8.893,0.446,2.1511,23.5572,9.7062,6.6894
"10009, New York, NY",10009,60141,5.5933,1.2049,6.6667,21.3639,2.159,4.737
"10010, New York, NY",10010,33119,5.1652,1.2191,3.1499,24.6168,3.8863,6.6431
"10011, New York, NY",10011,50711,5.7502,1.3645,2.8856,24.9435,4.4158,6.6388
"10012, New York, NY",10012,24527,5.4872,1.7103,4.3146,28.589,2.9995,7.4436
"10013, New York, NY",10013,29619,5.8119,2.1369,2.5845,29.6773,3.8515,9.4365
"10014, New York, NY",10014,31794,6.2988,1.3712,4.3611,21.1103,4.9324,10.6408
"10016, New York, NY",10016,51448,4.455,1.6104,1.0736,45.5601,3.9698,6.2413
"10017, New York, NY",10017,16388,6.2009,0.4557,1.2509,44.7462,3.2881,7.4964
"10018, New York, NY",10018,9719,3.6258,0.4924,1.0445,41.3757,3.7153,5.8341
"10019, New York, NY",10019,41592,6.2548,1.202,2.7803,37.3096,2.879,7.5335
"10020, New York, NY",10020,0,0,0,0,0,0,0
"10021, New York, NY",10021,44983,12.6421,2.8416,1.0206,25.0406,9.0505,6.6767
"10022, New York, NY",10022,30807,8.5641,1.3871,0.3545,36.2754,5.1117,9.2011
"10023, New York, NY",10023,61514,6.4549,1.6367,2.7192,17.642,4.9991,8.5942
"10024, New York, NY",10024,58512,6.3084,1.7308,1.498,7.4841,4.9208,9.1343
"10025, New York, NY",10025,94382,8.8195,2.2523,1.4234,9.755,3.2879,8.5638
"10026, New York, NY",10026,40105,6.5664,1.3357,1.0757,6.5919,0.9839,6.5001
"10027, New York, NY",10027,65365,9.2938,1.0686,1.6174,14.6585,1.6828,6.4624
"10028, New York, NY",10028,50091,8.3496,1.0305,1.6208,14.7561,5.8291,6.4927
"10029, New York, NY",10029,80866,7.1892,0.8263,1.1599,16.4534,1.5395,3.7553
"10030, New York, NY",10030,30163,11.6336,3.1376,0.5291,9.1593,2.2731,4.2257
"10031, New York, NY",10031,62382,7.9617,2.0868,1.4153,6.6247,0.7618,6.3597
"10032, New York, NY",10032,63185,10.8406,3.9883,2.3289,14.1274,1.2654,5.2473
"10033, New York, NY",10033,60810,11.553,4.4175,0.6674,12.1276,1.4966,5.2192
"10034, New York, NY",10034,44186,13.2186,3.1745,0.2673,10.2692,2.0116,5.9692
"10035, New York, NY",10035,35366,11.7036,1.6357,0.9635,10.5833,1.3519,3.8838
"10036, New York, NY",10036,26868,4.4161,0.7747,3.183,35.6345,3.7837,5.7125
"10037, New York, NY",10037,21184,11.8139,1.4005,0.1016,12.2318,1.841,5.5907
"10038, New York, NY",10038,22457,7.0258,1.2211,2.4841,30.0519,2.1245,6.0974
"10039, New York, NY",10039,27203,10.5664,1.8731,1.0665,7.2504,1.0396,3.4415
"10040, New York, NY",10040,46003,9.5804,2.5709,0.3819,10.3442,0.9129,6.4273
"10044, New York, NY",10044,11945,6.8019,2.2254,0.5743,5.3661,3.033,0.9871
"10065, New York, NY",10065,29565,8.7025,1.8745,1.2665,34.0839,5.7923,9.5806
"10069, New York, NY",10069,5195,6.252,1.6933,6.7079,11.1039,5.1449,7.9453
"10075, New York, NY",10075,22818,10.414,1.5742,1.6272,18.4969,8.5673,8.0981
"10103, New York, NY",10103,0,0,0,0,0,0,0
"10110, New York, NY",10110,0,0,0,0,0,0,0
"10111, New York, NY",10111,0,0,0,0,0,0,0
"10112, New York, NY",10112,0,0,0,0,0,0,0
"10115, New York, NY",10115,0,0,0,0,0,0,0
"10119, New York, NY",10119,0,0,0,0,0,0,0
"10128, New York, NY",10128,62743,7.6946,1.7659,0.8385,11.4502,6.0769,8.3929
"10152, New York, NY",10152,0,0,0,0,0,0,0
"10153, New York, NY",10153,0,0,0,0,0,0,0
"10154, New York, NY",10154,0,0,0,0,0,0,0
"10162, New York, NY",10162,1324,17.3006,0,6.135,20.6135,6.135,12.0245
"10165, New York, NY",10165,0,0,0,0,0,0,0
"10167, New York, NY",10167,0,0,0,0,0,0,0
"10168, New York, NY",10168,0,0,0,0,0,0,0
"10169, New York, NY",10169,0,0,0,0,0,0,0
"10170, New York, NY",10170,0,0,0,0,0,0,0
"10171, New York, NY",10171,0,0,0,0,0,0,0
