Name,FIPS,"# Total Population [B01003] | Total population, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | Under 5 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 5 to 9 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 10 to 14 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 15 to 17 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 18 and 19 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 20 to 24 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 25 to 29 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 30 to 34 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 35 to 44 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 45 to 54 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 55 to 64 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 65 to 74 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 75 to 84 years, 2017","# Sex By Age (White Alone) [B01001A] | People who are White alone | 85 years and over, 2017"
"10001, New York, NY",10001,23947,246,293,249,189,551,1536,1876,1774,2329,2055,1694,1152,770,209
"10002, New York, NY",10002,77925,879,686,631,371,254,2177,3656,2493,3460,2503,3135,2140,1154,963
"10003, New York, NY",10003,55035,1435,592,424,387,4832,3534,6747,4556,6227,3787,4543,3145,1762,910
"10004, New York, NY",10004,2990,56,42,27,50,0,100,300,287,351,333,320,160,34,0
"10005, New York, NY",10005,8680,320,257,48,0,98,915,1427,1019,1562,471,241,136,0,0
"10006, New York, NY",10006,3579,290,103,24,0,0,269,433,478,453,232,208,0,0,0
"10007, New York, NY",10007,7036,348,361,156,139,70,117,402,960,973,775,539,169,80,21
"10009, New York, NY",10009,60141,593,609,842,685,125,3836,6744,4559,4370,4272,4545,3249,1334,719
"10010, New York, NY",10010,33119,1232,648,500,71,884,2253,4248,2698,3355,2741,2338,2229,916,563
"10011, New York, NY",10011,50711,1101,989,771,396,304,2029,4667,5896,6384,4761,5446,4178,2015,921
"10012, New York, NY",10012,24527,559,350,315,190,159,1983,3143,2566,2627,1914,1773,1624,643,292
"10013, New York, NY",10013,29619,1201,643,529,264,211,1147,2077,1845,3137,1523,1573,1296,375,136
"10014, New York, NY",10014,31794,1105,555,573,256,124,1030,4907,4180,4193,3648,3579,2504,1010,625
"10016, New York, NY",10016,51448,1001,350,718,429,604,3547,7248,4996,3550,3495,3956,3217,2043,1237
"10017, New York, NY",10017,16388,448,170,103,37,44,916,1965,1316,1697,1350,1623,1793,708,307
"10018, New York, NY",10018,9719,317,36,93,7,58,371,1412,772,1331,605,528,127,54,0
"10019, New York, NY",10019,41592,512,400,361,235,70,1531,3748,4131,4463,3866,4092,3246,1502,511
"10020, New York, NY",10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10021, New York, NY",10021,44983,1746,1424,939,299,232,968,2954,4176,5455,3821,4576,5112,3263,1429
"10022, New York, NY",10022,30807,865,545,370,253,273,902,2745,2284,3263,2941,3390,4009,2985,1189
"10023, New York, NY",10023,61514,2623,1912,1678,633,650,1308,3649,4670,8218,6831,6083,6155,2942,1739
"10024, New York, NY",10024,58512,2338,1737,2051,1164,241,1105,4482,4526,7121,7260,7181,5495,2351,1462
"10025, New York, NY",10025,94382,2541,2217,2552,964,1175,3278,6742,4300,7675,8253,8824,7483,2922,1875
